> 600 350 4500
600.000000 0.000000 599.994736 1.466072 Bleu
599.952627 4.398114 599.915781 5.864032 Bleu
599.810514 8.795533 599.742093 10.261066 Bleu
599.573684 13.191564 599.473698 14.656479 Bleu
599.242174 17.585511 599.110639 19.049578 Bleu
598.816037 21.976682 598.652974 23.439668 Bleu
598.295340 26.364382 598.100775 27.826058 Bleu
597.680165 30.747919 597.454129 32.208053 Bleu
596.970610 35.126600 596.713137 36.584962 Bleu
596.166786 39.499735 595.877918 40.956094 Bleu
595.268821 43.866632 594.948603 45.320759 Bleu
594.276855 48.226602 593.925338 49.678267 Bleu
593.191047 52.578956 592.808286 54.027930 Bleu
592.011567 56.923008 591.597622 58.369061 Bleu
590.738601 61.258071 590.293539 62.700976 Bleu
589.372350 65.583460 588.896241 67.022989 Bleu
587.913031 69.898493 587.405949 71.334418 Bleu
586.360874 74.202488 585.822900 75.634583 Bleu
584.716124 78.494766 584.147342 79.922805 Bleu
582.979040 82.774649 582.379540 84.198405 Bleu
581.149897 87.041461 580.519774 88.460710 Bleu
579.228983 91.294527 578.568337 92.709046 Bleu
577.216603 95.533177 576.525538 96.942741 Bleu
575.113073 99.756742 574.391699 101.161129 Bleu
572.918727 103.964554 572.167156 105.363542 Bleu
570.633910 108.155948 569.852261 109.549317 Bleu
568.258983 112.330263 567.447381 113.717793 Bleu
565.794322 116.486841 564.952894 117.868311 Bleu
563.240315 120.625023 562.369194 122.000217 Bleu
560.597365 124.744158 559.696689 126.112857 Bleu
557.865892 128.843593 556.935802 130.205583 Bleu
555.046324 132.922683 554.086969 134.277747 Bleu
552.139108 136.980783 551.150638 138.328708 Bleu
549.144704 141.017252 548.127275 142.357825 Bleu
546.063582 145.031453 545.017355 146.364462 Bleu
542.896231 149.022752 541.821372 150.347987 Bleu
539.643151 152.990518 538.539828 154.307769 Bleu
536.304854 156.934126 535.173243 158.243185 Bleu
532.881869 160.852951 531.722148 162.153612 Bleu
529.374736 164.746376 528.187087 166.038434 Bleu
525.784008 168.613786 524.568620 169.897036 Bleu
522.110253 172.454570 520.867317 173.728809 Bleu
518.354050 176.268121 517.083763 177.533148 Bleu
514.515994 180.053837 513.218556 181.309453 Bleu
510.596689 183.811120 509.272306 185.057127 Bleu
506.596755 187.539378 505.245635 188.775579 Bleu
502.516824 191.238021 501.139181 192.464220 Bleu
498.357540 194.906466 496.953590 196.122469 Bleu
494.119559 198.544132 492.689525 199.749749 Bleu
489.803550 202.150446 488.347659 203.345485 Bleu
485.410197 205.724838 483.928677 206.909111 Bleu
480.940191 209.266744 479.433277 210.440063 Bleu
476.394239 212.775604 474.862169 213.937785 Bleu
471.773059 216.250865 470.216074 217.401723 Bleu
467.077381 219.691976 465.495727 220.831331 Bleu
462.307946 223.098396 460.701873 224.226067 Bleu
457.465507 226.469587 455.835269 227.585396 Bleu
452.550828 229.805015 450.896683 230.908785 Bleu
447.564687 233.104154 445.886895 234.195712 Bleu
442.507870 236.366483 440.806697 237.445657 Bleu
437.381176 239.591487 435.656890 240.658106 Bleu
432.185415 242.778657 430.438288 243.832552 Bleu
426.921406 245.927489 425.151714 246.968495 Bleu
421.589982 249.037487 419.798004 250.065438 Bleu
416.191983 252.108159 414.378004 253.122893 Bleu
410.728264 255.139020 408.892568 256.140377 Bleu
405.199685 258.129591 403.342563 259.117413 Bleu
399.607120 261.079401 397.728866 262.053532 Bleu
393.951453 263.987983 392.052362 264.948269 Bleu
388.233577 266.854879 386.313950 267.801169 Bleu
382.454394 269.679635 380.514533 270.611779 Bleu
376.614817 272.461806 374.655029 273.379656 Bleu
370.715768 275.200951 368.736363 276.104364 Bleu
364.758179 277.896640 362.759469 278.785471 Bleu
358.742990 280.548445 356.725291 281.422555 Bleu
352.671151 283.155948 350.634782 284.015200 Bleu
346.543622 285.718738 344.488904 286.562994 Bleu
340.361369 288.236409 338.288626 289.065538 Bleu
334.125370 290.708565 332.034930 291.522434 Bleu
327.836608 293.134814 325.728801 293.933296 Bleu
321.496077 295.514774 319.371235 296.297742 Bleu
315.104778 297.848069 312.963237 298.615400 Bleu
308.663720 300.134330 306.505819 300.885902 Bleu
302.173921 302.373196 300.000000 303.108891 Bleu
295.636405 304.564314 293.446807 305.284016 Bleu
289.052204 306.707338 286.847276 307.410933 Bleu
282.422359 308.801929 280.202448 309.489306 Bleu
275.747916 310.847757 273.513373 311.518807 Bleu
269.029930 312.844498 266.781108 313.499116 Bleu
262.269460 314.791838 260.006714 315.429920 Bleu
255.467575 316.689468 253.191262 317.310913 Bleu
248.625349 318.537090 246.335828 319.141800 Bleu
241.743861 320.334410 239.441495 320.922290 Bleu
234.824200 322.081147 232.509352 322.652103 Bleu
227.867457 323.777022 225.540492 324.330966 Bleu
220.874732 325.421770 218.536018 325.958612 Bleu
213.847127 327.015130 211.497033 327.534787 Bleu
206.785754 328.556850 204.424651 329.059239 Bleu
199.691727 330.046688 197.319988 330.531730 Bleu
192.566166 331.484407 190.184166 331.952025 Bleu
185.410197 332.869781 183.018311 333.319902 Bleu
178.224949 334.202591 175.823556 334.635143 Bleu
171.011557 335.482626 168.601036 335.897542 Bleu
163.771161 336.709685 161.351892 337.106898 Bleu
156.504904 337.883574 154.077269 338.263022 Bleu
149.213932 339.004106 146.778315 339.365730 Bleu
141.899398 340.071107 139.456184 340.414848 Bleu
134.562457 341.084405 132.112030 341.410210 Bleu
127.204266 342.043843 124.747014 342.351660 Bleu
119.825988 342.949268 117.362300 343.239049 Bleu
112.428789 343.800538 109.959053 344.072236 Bleu
105.013835 344.597517 102.538441 344.851090 Bleu
97.582299 345.340080 95.101638 345.575489 Bleu
90.135353 346.028111 87.649817 346.245317 Bleu
82.674174 346.661499 80.184155 346.860468 Bleu
75.199940 347.240145 72.705831 347.420847 Bleu
67.713831 347.763959 65.216027 347.926363 Bleu
60.217029 348.232856 57.715923 348.376938 Bleu
52.710718 348.646763 50.206706 348.772501 Bleu
45.196083 349.005615 42.689560 349.112988 Bleu
37.674312 349.309355 35.165674 349.398346 Bleu
30.146591 349.557935 27.636234 349.628530 Bleu
22.614110 349.751315 20.102430 349.803504 Bleu
15.078057 349.889466 12.565452 349.923239 Bleu
7.539624 349.972365 5.026489 349.987718 Bleu
0.000000 350.000000 -2.513267 349.996929 Bleu
-7.539624 349.972365 -10.052626 349.950872 Bleu
-15.078057 349.889466 -17.590398 349.849554 Bleu
-22.614110 349.751315 -25.125392 349.692991 Bleu
-30.146591 349.557935 -32.656419 349.481206 Bleu
-37.674312 349.309355 -40.182289 349.214235 Bleu
-45.196083 349.005615 -47.701813 348.892119 Bleu
-52.710718 348.646763 -55.213805 348.514908 Bleu
-60.217029 348.232856 -62.717078 348.082663 Bleu
-67.713831 347.763959 -70.210447 347.595452 Bleu
-75.199940 347.240145 -77.692729 347.053352 Bleu
-82.674174 346.661499 -85.162743 346.456447 Bleu
-90.135353 346.028111 -92.619308 345.804833 Bleu
-97.582299 345.340080 -100.061248 345.098613 Bleu
-105.013835 344.597517 -107.487387 344.337897 Bleu
-112.428789 343.800538 -114.896552 343.522807 Bleu
-119.825988 342.949268 -122.287574 342.653470 Bleu
-127.204266 342.043843 -129.659285 341.730025 Bleu
-134.562457 341.084405 -137.010522 340.752616 Bleu
-141.899398 340.071107 -144.340123 339.721398 Bleu
-149.213932 339.004106 -151.646931 338.636535 Bleu
-156.504904 337.883574 -158.929792 337.498197 Bleu
-163.771161 336.709685 -166.187557 336.306564 Bleu
-171.011557 335.482626 -173.419078 335.061824 Bleu
-178.224949 334.202591 -180.623215 333.764174 Bleu
-185.410197 332.869781 -187.798829 332.413819 Bleu
-192.566166 331.484407 -194.944787 331.010972 Bleu
-199.691727 330.046688 -202.059962 329.555855 Bleu
-206.785754 328.556850 -209.143228 328.048696 Bleu
-213.847127 327.015130 -216.193469 326.489735 Bleu
-220.874732 325.421770 -223.209570 324.879218 Bleu
-227.867457 323.777022 -230.190424 323.217398 Bleu
-234.824200 322.081147 -237.134928 321.504539 Bleu
-241.743861 320.334410 -244.041986 319.740910 Bleu
-248.625349 318.537090 -250.910507 317.926791 Bleu
-255.467575 316.689468 -257.739405 316.062467 Bleu
-262.269460 314.791838 -264.527604 314.148233 Bleu
-269.029930 312.844498 -271.274031 312.184392 Bleu
-275.747916 310.847757 -277.977621 310.171253 Bleu
-282.422359 308.801929 -284.637315 308.109134 Bleu
-289.052204 306.707338 -291.252061 305.998362 Bleu
-295.636405 304.564314 -297.820815 303.839268 Bleu
-302.173921 302.373196 -304.342540 301.632195 Bleu
-308.663720 300.134330 -310.816206 299.377491 Bleu
-315.104778 297.848069 -317.240790 297.075512 Bleu
-321.496077 295.514774 -323.615278 294.726621 Bleu
-327.836608 293.134814 -329.938663 292.331189 Bleu
-334.125370 290.708565 -336.209948 289.889594 Bleu
-340.361369 288.236409 -342.428141 287.402223 Bleu
-346.543622 285.718738 -348.592260 284.869468 Bleu
-352.671151 283.155948 -354.701333 282.291728 Bleu
-358.742990 280.548445 -360.754394 279.669412 Bleu
-364.758179 277.896640 -366.750488 277.002932 Bleu
-370.715768 275.200951 -372.688668 274.292710 Bleu
-376.614817 272.461806 -378.567996 271.539174 Bleu
-382.454394 269.679635 -384.387544 268.742759 Bleu
-388.233577 266.854879 -390.146392 265.903907 Bleu
-393.951453 263.987983 -395.843632 263.023065 Bleu
-399.607120 261.079401 -401.478364 260.100689 Bleu
-405.199685 258.129591 -407.049697 257.137240 Bleu
-410.728264 255.139020 -412.556753 254.133186 Bleu
-416.191983 252.108159 -417.998661 251.089001 Bleu
-421.589982 249.037487 -423.374562 248.005167 Bleu
-426.921406 245.927489 -428.683608 244.882169 Bleu
-432.185415 242.778657 -433.924959 241.720502 Bleu
-437.381176 239.591487 -439.097789 238.520664 Bleu
-442.507870 236.366483 -444.201280 235.283162 Bleu
-447.564687 233.104154 -449.234626 232.008505 Bleu
-452.550828 229.805015 -454.197033 228.697211 Bleu
-457.465507 226.469587 -459.087718 225.349804 Bleu
-462.307946 223.098396 -463.905906 221.966811 Bleu
-467.077381 219.691976 -468.650839 218.548767 Bleu
-471.773059 216.250865 -473.321766 215.096212 Bleu
-476.394239 212.775604 -477.917951 211.609690 Bleu
-480.940191 209.266744 -482.438666 208.089753 Bleu
-485.410197 205.724838 -486.883199 204.536956 Bleu
-489.803550 202.150446 -491.250848 200.951860 Bleu
-494.119559 198.544132 -495.540922 197.335032 Bleu
-498.357540 194.906466 -499.752744 193.687042 Bleu
-502.516824 191.238021 -503.885650 190.008467 Bleu
-506.596755 187.539378 -507.938987 186.299887 Bleu
-510.596689 183.811120 -511.912114 182.561888 Bleu
-514.515994 180.053837 -515.804404 178.795061 Bleu
-518.354050 176.268121 -519.615242 175.000000 Bleu
-522.110253 172.454570 -523.344028 171.177304 Bleu
-525.784008 168.613786 -526.990171 167.327578 Bleu
-529.374736 164.746376 -530.553096 163.451428 Bleu
-532.881869 160.852951 -534.032241 159.549468 Bleu
-536.304854 156.934126 -537.427056 155.622313 Bleu
-539.643151 152.990518 -540.737005 151.670583 Bleu
-542.896231 149.022752 -543.961566 147.694903 Bleu
-546.063582 145.031453 -547.100228 143.695900 Bleu
-549.144704 141.017252 -550.152497 139.674206 Bleu
-552.139108 136.980783 -553.117891 135.630455 Bleu
-555.046324 132.922683 -555.995941 131.565287 Bleu
-557.865892 128.843593 -558.786193 127.479344 Bleu
-560.597365 124.744158 -561.488206 123.373269 Bleu
-563.240315 120.625023 -564.101553 119.247713 Bleu
-565.794322 116.486841 -566.625822 115.103326 Bleu
-568.258983 112.330263 -569.060615 110.940763 Bleu
-570.633910 108.155948 -571.405546 106.760682 Bleu
-572.918727 103.964554 -573.660245 102.563741 Bleu
-575.113073 99.756742 -575.824357 98.350604 Bleu
-577.216603 95.533177 -577.897540 94.121937 Bleu
-579.228983 91.294527 -579.879466 89.878407 Bleu
-581.149897 87.041461 -581.769822 85.620684 Bleu
-582.979040 82.774649 -583.568310 81.349440 Bleu
-584.716124 78.494766 -585.274646 77.065351 Bleu
-586.360874 74.202488 -586.888560 72.769092 Bleu
-587.913031 69.898493 -588.409798 68.461342 Bleu
-589.372350 65.583460 -589.838119 64.142781 Bleu
