> 400 300 720
400.000000 0.000000 399.939078 5.235722 Bleu
399.451814 15.700787 399.025620 20.926942 Bleu
397.808758 31.358539 397.018461 36.560803 Bleu
395.075336 46.930340 393.923101 52.094453 Bleu
391.259040 62.373507 389.748026 67.485316 Bleu
386.370331 77.645714 384.504678 82.691207 Bleu
380.422607 92.705098 378.207430 97.670446 Bleu
373.432171 107.510385 370.873542 112.381978 Bleu
365.418183 122.020993 362.523115 126.785479 Bleu
356.402610 136.197150 353.179037 140.841469 Bleu
346.410162 150.000000 342.866920 154.511422 Bleu
335.468227 163.391711 331.615029 167.757871 Bleu
323.606798 176.335576 319.454204 180.544507 Bleu
310.858385 188.796117 306.417777 192.836283 Bleu
297.257930 200.739182 292.541481 204.599508 Bleu
282.842712 212.132034 277.863348 215.801940 Bleu
267.652243 222.943448 262.423612 226.412874 Bleu
251.728156 233.143788 246.264590 236.403226 Bleu
235.114101 242.705098 229.430575 245.745613 Bleu
217.855614 251.601170 211.967706 254.414429 Bleu
200.000000 259.807621 193.923848 262.385912 Bleu
181.596200 267.301957 175.348459 269.638214 Bleu
162.694657 274.063637 156.292451 276.151456 Bleu
143.347180 280.074128 136.808057 281.907786 Bleu
123.606798 285.316955 116.948682 286.891427 Bleu
103.527618 289.777748 96.768758 291.088718 Bleu
83.164676 293.444280 76.323598 294.488155 Bleu
62.573786 296.306502 55.669240 297.080421 Bleu
41.811385 298.356569 34.862297 298.858409 Bleu
20.934382 299.588860 13.959799 299.817248 Bleu
0.000000 300.000000 -6.980963 299.954309 Bleu
-20.934382 299.588860 -27.902589 299.269215 Bleu
-41.811385 298.356569 -48.747737 297.763845 Bleu
-62.573786 296.306502 -69.459271 295.442326 Bleu
-83.164676 293.444280 -89.980422 292.311019 Bleu
-103.527618 289.777748 -110.254942 288.378509 Bleu
-123.606798 285.316955 -130.227262 283.655573 Bleu
-143.347180 280.074128 -149.842637 278.155156 Bleu
-162.694657 274.063637 -169.047305 271.892336 Bleu
-181.596200 267.301957 -187.788625 264.884278 Bleu
-200.000000 259.807621 -206.015230 257.150190 Bleu
-217.855614 251.601170 -223.677161 248.711272 Bleu
-235.114101 242.705098 -240.726009 239.590653 Bleu
-251.728156 233.143788 -257.115044 229.813333 Bleu
-267.652243 222.943448 -272.799344 219.406110 Bleu
-282.842712 212.132034 -287.735920 208.397511 Bleu
-297.257930 200.739182 -301.883832 196.817709 Bleu
-310.858385 188.796117 -315.204301 184.698443 Bleu
-323.606798 176.335576 -327.660818 172.072931 Bleu
-335.468227 163.391711 -339.219238 158.975779 Bleu
-346.410162 150.000000 -349.847883 145.442886 Bleu
-356.402610 136.197150 -359.517619 131.511344 Bleu
-365.418183 122.020993 -368.201941 117.219339 Bleu
-373.432171 107.510385 -375.877048 102.606043 Bleu
-380.422607 92.705098 -382.521902 87.711511 Bleu
-386.370331 77.645714 -388.118291 72.576569 Bleu
-391.259040 62.373507 -392.650873 57.242699 Bleu
-395.075336 46.930340 -396.107227 41.751930 Bleu
-397.808758 31.358539 -398.477879 26.146723 Bleu
-399.451814 15.700787 -399.756331 10.469849 Bleu
-400.000000 0.000000 -399.939078 -5.235722 Bleu
-399.451814 -15.700787 -399.025620 -20.926942 Bleu
-397.808758 -31.358539 -397.018461 -36.560803 Bleu
-395.075336 -46.930340 -393.923101 -52.094453 Bleu
-391.259040 -62.373507 -389.748026 -67.485316 Bleu
-386.370331 -77.645714 -384.504678 -82.691207 Bleu
-380.422607 -92.705098 -378.207430 -97.670446 Bleu
-373.432171 -107.510385 -370.873542 -112.381978 Bleu
-365.418183 -122.020993 -362.523115 -126.785479 Bleu
-356.402610 -136.197150 -353.179037 -140.841469 Bleu
-346.410162 -150.000000 -342.866920 -154.511422 Bleu
-335.468227 -163.391711 -331.615029 -167.757871 Bleu
-323.606798 -176.335576 -319.454204 -180.544507 Bleu
-310.858385 -188.796117 -306.417777 -192.836283 Bleu
-297.257930 -200.739182 -292.541481 -204.599508 Bleu
-282.842712 -212.132034 -277.863348 -215.801940 Bleu
-267.652243 -222.943448 -262.423612 -226.412874 Bleu
-251.728156 -233.143788 -246.264590 -236.403226 Bleu
-235.114101 -242.705098 -229.430575 -245.745613 Bleu
-217.855614 -251.601170 -211.967706 -254.414429 Bleu
-200.000000 -259.807621 -193.923848 -262.385912 Bleu
