> 200 150 200
200.000000 0.000000 199.824566 6.281348 Bleu
198.422940 18.799985 197.199207 25.015312 Bleu
193.716632 37.303483 191.463900 43.354770 Bleu
185.955297 55.218683 182.709092 61.010496 Bleu
175.261336 72.263051 171.072852 77.704051 Bleu
161.803399 88.167788 156.738691 93.172167 Bleu
145.793725 102.682066 139.932668 107.170902 Bleu
127.484798 115.576986 120.919823 119.479488 Bleu
107.165359 126.649189 100.000000 129.903811 Bleu
85.155858 135.724058 77.503117 138.279473 Bleu
61.803399 142.658477 53.783964 144.474385 Bleu
37.476263 147.343088 29.216606 148.390850 Bleu
12.558104 149.704009 4.188484 149.967103 Bleu
-12.558104 149.704009 -20.905693 149.178284 Bleu
-37.476263 147.343088 -45.670174 146.036835 Bleu
-61.803399 142.658477 -69.714409 140.592298 Bleu
-85.155858 135.724058 -92.659207 132.930537 Bleu
-107.165359 126.649189 -114.142714 123.172381 Bleu
-127.484798 115.576986 -133.826121 111.471724 Bleu
-145.793725 102.682066 -151.399011 98.013091 Bleu
-161.803399 88.167788 -166.584248 83.008732 Bleu
-175.261336 72.263051 -179.142352 66.695277 Bleu
-185.955297 55.218683 -188.875274 49.329997 Bleu
-193.716632 37.303483 -195.629520 31.186754 Bleu
-198.422940 18.799985 -199.298572 12.551676 Bleu
-200.000000 0.000000 -199.824566 -6.281348 Bleu
-198.422940 -18.799985 -197.199207 -25.015312 Bleu
-193.716632 -37.303483 -191.463900 -43.354770 Bleu
-185.955297 -55.218683 -182.709092 -61.010496 Bleu
-175.261336 -72.263051 -171.072852 -77.704051 Bleu
-161.803399 -88.167788 -156.738691 -93.172167 Bleu
-145.793725 -102.682066 -139.932668 -107.170902 Bleu
-127.484798 -115.576986 -120.919823 -119.479488 Bleu
-107.165359 -126.649189 -100.000000 -129.903811 Bleu
-85.155858 -135.724058 -77.503117 -138.279473 Bleu
-61.803399 -142.658477 -53.783964 -144.474385 Bleu
-37.476263 -147.343088 -29.216606 -148.390850 Bleu
-12.558104 -149.704009 -4.188484 -149.967103 Bleu
12.558104 -149.704009 20.905693 -149.178284 Bleu
37.476263 -147.343088 45.670174 -146.036835 Bleu
61.803399 -142.658477 69.714409 -140.592298 Bleu
85.155858 -135.724058 92.659207 -132.930537 Bleu
107.165359 -126.649189 114.142714 -123.172381 Bleu
127.484798 -115.576986 133.826121 -111.471724 Bleu
145.793725 -102.682066 151.399011 -98.013091 Bleu
161.803399 -88.167788 166.584248 -83.008732 Bleu
175.261336 -72.263051 179.142352 -66.695277 Bleu
185.955297 -55.218683 188.875274 -49.329997 Bleu
193.716632 -37.303483 195.629520 -31.186754 Bleu
198.422940 -18.799985 199.298572 -12.551676 Bleu
170.000000 0.000000 169.850881 5.443835 Rouge
168.659499 16.293320 167.619326 21.679937 Rouge
164.659137 32.329685 162.744315 37.574134 Rouge
158.062003 47.856192 155.302728 52.875764 Rouge
148.972136 62.627978 145.411924 67.343511 Rouge
137.532889 76.412083 133.227888 80.749211 Rouge
123.924667 88.991124 118.942768 92.881448 Rouge
108.362078 100.166722 102.781850 103.548889 Rouge
91.090555 109.762630 85.000000 112.583302 Rouge
72.382480 117.627517 65.877650 119.842210 Rouge
52.532889 123.637347 45.716370 125.211134 Rouge
31.854823 127.697343 24.834115 128.605403 Rouge
10.674388 129.743475 3.560211 129.971489 Rouge
-10.674388 129.743475 -17.769839 129.287846 Rouge
-31.854823 127.697343 -38.819648 126.565257 Rouge
