> 300 550 14
-300.000000 100.000000 0.000000 100.000000 Rouge
0.000000 100.000000 300.000000 100.000000 Bleu
300.000000 -100.000000 300.000000 100.000000 Rose
-300.000000 -100.000000 0.000000 -100.000000 Noir
0.000000 -100.000000 300.000000 -100.000000 Vert
-300.000000 -100.000000 -300.000000 100.000000 Jaune
200.000000 -350.000000 141.421356 -208.578644 Vert
141.421356 -208.578644 0.000000 -150.000000 Jaune
0.000000 -150.000000 -141.421356 -208.578644 Gris
-141.421356 -208.578644 -200.000000 -350.000000 Noir
-200.000000 -350.000000 -141.421356 -491.421356 Orange
-141.421356 -491.421356 -0.000000 -550.000000 Violet
-0.000000 -550.000000 141.421356 -491.421356 Rouge
141.421356 -491.421356 200.000000 -350.000000 Bleu
