> 560 360 47017
-547.500000 -352.500000 -547.801537 -350.789899 Vert
-547.801537 -350.789899 -548.669778 -349.286062 Noir
-548.669778 -349.286062 -550.000000 -348.169873 Gris
-550.000000 -348.169873 -551.631759 -347.575961 Gris
-551.631759 -347.575961 -553.368241 -347.575961 Violet
-553.368241 -347.575961 -555.000000 -348.169873 Bleu
-555.000000 -348.169873 -556.330222 -349.286062 Vert
-556.330222 -349.286062 -557.198463 -350.789899 Violet
-557.198463 -350.789899 -557.500000 -352.500000 Vert
-557.500000 -352.500000 -557.198463 -354.210101 Marron
-557.198463 -354.210101 -556.330222 -355.713938 Bleu
-556.330222 -355.713938 -555.000000 -356.830127 Orange
-555.000000 -356.830127 -553.368241 -357.424039 Noir
-553.368241 -357.424039 -551.631759 -357.424039 Orange
-551.631759 -357.424039 -550.000000 -356.830127 Bleu
-550.000000 -356.830127 -548.669778 -355.713938 Violet
-548.669778 -355.713938 -547.801537 -354.210101 Jaune
-547.801537 -354.210101 -547.500000 -352.500000 Orange
-532.500000 -352.500000 -533.072720 -350.176384 Noir
-533.072720 -350.176384 -534.659676 -348.385081 Orange
-534.659676 -348.385081 -536.897317 -347.536456 Noir
-536.897317 -347.536456 -539.273024 -347.824919 Gris
-539.273024 -347.824919 -541.242554 -349.184387 Marron
-541.242554 -349.184387 -542.354709 -351.303422 Orange
-542.354709 -351.303422 -542.354709 -353.696578 Bleu
-542.354709 -353.696578 -541.242554 -355.815613 Bleu
-541.242554 -355.815613 -539.273024 -357.175081 Noir
-539.273024 -357.175081 -536.897317 -357.463544 Rouge
-536.897317 -357.463544 -534.659676 -356.614919 Bleu
-534.659676 -356.614919 -533.072720 -354.823616 Bleu
-533.072720 -354.823616 -532.500000 -352.500000 Violet
-517.500000 -352.500000 -517.722136 -351.026224 Rose
-517.722136 -351.026224 -518.368806 -349.683400 Gris
-518.368806 -349.683400 -519.382551 -348.590843 Rose
-519.382551 -348.590843 -520.673295 -347.845631 Marron
-520.673295 -347.845631 -522.126350 -347.513981 Gris
-522.126350 -347.513981 -523.612605 -347.625360 Noir
-523.612605 -347.625360 -525.000000 -348.169873 Violet
-525.000000 -348.169873 -526.165259 -349.099136 Orange
-526.165259 -349.099136 -527.004844 -350.330581 Noir
-527.004844 -350.330581 -527.444154 -351.754789 Gris
-527.444154 -351.754789 -527.444154 -353.245211 Bleu
-527.444154 -353.245211 -527.004844 -354.669419 Orange
-527.004844 -354.669419 -526.165259 -355.900864 Rouge
-526.165259 -355.900864 -525.000000 -356.830127 Noir
-525.000000 -356.830127 -523.612605 -357.374640 Violet
-523.612605 -357.374640 -522.126350 -357.486019 Rose
-522.126350 -357.486019 -520.673295 -357.154369 Orange
-520.673295 -357.154369 -519.382551 -356.409157 Marron
-519.382551 -356.409157 -518.368806 -355.316600 Jaune
-518.368806 -355.316600 -517.722136 -353.973776 Noir
-517.722136 -353.973776 -517.500000 -352.500000 Rouge
-502.500000 -352.500000 -510.000000 -348.169873 Violet
-510.000000 -348.169873 -510.000000 -356.830127 Noir
-510.000000 -356.830127 -502.500000 -352.500000 Gris
-487.500000 -352.500000 -490.954915 -347.744717 Marron
-490.954915 -347.744717 -496.545085 -349.561074 Marron
-496.545085 -349.561074 -496.545085 -355.438926 Vert
-496.545085 -355.438926 -490.954915 -357.255283 Bleu
-490.954915 -357.255283 -487.500000 -352.500000 Rouge
-472.500000 -352.500000 -475.954915 -347.744717 Noir
-475.954915 -347.744717 -481.545085 -349.561074 Rouge
-481.545085 -349.561074 -481.545085 -355.438926 Marron
-481.545085 -355.438926 -475.954915 -357.255283 Marron
-475.954915 -357.255283 -472.500000 -352.500000 Noir
