> 550 350 23504
-543.333333 -350.000000 -544.893037 -345.714749 Vert
-544.893037 -345.714749 -548.842345 -343.434615 Noir
-548.842345 -343.434615 -553.333333 -344.226497 Gris
-553.333333 -344.226497 -556.264617 -347.719866 Gris
-556.264617 -347.719866 -556.264617 -352.280134 Violet
-556.264617 -352.280134 -553.333333 -355.773503 Bleu
-553.333333 -355.773503 -548.842345 -356.565385 Vert
-548.842345 -356.565385 -544.893037 -354.285251 Violet
-544.893037 -354.285251 -543.333333 -350.000000 Vert
-523.333333 -350.000000 -523.783518 -347.591722 Bleu
-523.783518 -347.591722 -525.073274 -345.508696 Orange
-525.073274 -345.508696 -527.028411 -344.032245 Noir
-527.028411 -344.032245 -529.384878 -343.361772 Orange
-529.384878 -343.361772 -531.824420 -343.587829 Bleu
-531.824420 -343.587829 -534.017564 -344.679885 Violet
-534.017564 -344.679885 -535.668114 -346.490452 Jaune
-535.668114 -346.490452 -536.553154 -348.775003 Orange
-536.553154 -348.775003 -536.553154 -351.224997 Gris
-536.553154 -351.224997 -535.668114 -353.509548 Noir
-535.668114 -353.509548 -534.017564 -355.320115 Orange
-534.017564 -355.320115 -531.824420 -356.412171 Noir
-531.824420 -356.412171 -529.384878 -356.638228 Gris
-529.384878 -356.638228 -527.028411 -355.967755 Marron
-527.028411 -355.967755 -525.073274 -354.491304 Orange
-525.073274 -354.491304 -523.783518 -352.408278 Bleu
-523.783518 -352.408278 -523.333333 -350.000000 Bleu
-503.333333 -350.000000 -504.893037 -345.714749 Rouge
-504.893037 -345.714749 -508.842345 -343.434615 Bleu
-508.842345 -343.434615 -513.333333 -344.226497 Bleu
-513.333333 -344.226497 -516.264617 -347.719866 Violet
-516.264617 -347.719866 -516.264617 -352.280134 Gris
-516.264617 -352.280134 -513.333333 -355.773503 Rose
-513.333333 -355.773503 -508.842345 -356.565385 Gris
-508.842345 -356.565385 -504.893037 -354.285251 Rose
-504.893037 -354.285251 -503.333333 -350.000000 Marron
-483.333333 -350.000000 -483.783518 -347.591722 Noir
-483.783518 -347.591722 -485.073274 -345.508696 Violet
-485.073274 -345.508696 -487.028411 -344.032245 Orange
-487.028411 -344.032245 -489.384878 -343.361772 Noir
-489.384878 -343.361772 -491.824420 -343.587829 Gris
-491.824420 -343.587829 -494.017564 -344.679885 Bleu
-494.017564 -344.679885 -495.668114 -346.490452 Orange
-495.668114 -346.490452 -496.553154 -348.775003 Rouge
-496.553154 -348.775003 -496.553154 -351.224997 Noir
-496.553154 -351.224997 -495.668114 -353.509548 Violet
-495.668114 -353.509548 -494.017564 -355.320115 Rose
-494.017564 -355.320115 -491.824420 -356.412171 Orange
-491.824420 -356.412171 -489.384878 -356.638228 Marron
-489.384878 -356.638228 -487.028411 -355.967755 Jaune
-487.028411 -355.967755 -485.073274 -354.491304 Noir
-485.073274 -354.491304 -483.783518 -352.408278 Rouge
-483.783518 -352.408278 -483.333333 -350.000000 Marron
-463.333333 -350.000000 -463.840803 -347.448777 Noir
-463.840803 -347.448777 -465.285955 -345.285955 Gris
-465.285955 -345.285955 -467.448777 -343.840803 Gris
-467.448777 -343.840803 -470.000000 -343.333333 Marron
-470.000000 -343.333333 -472.551223 -343.840803 Marron
-472.551223 -343.840803 -474.714045 -345.285955 Vert
-474.714045 -345.285955 -476.159197 -347.448777 Bleu
-476.159197 -347.448777 -476.666667 -350.000000 Rouge
-476.666667 -350.000000 -476.159197 -352.551223 Violet
-476.159197 -352.551223 -474.714045 -354.714045 Noir
-474.714045 -354.714045 -472.551223 -356.159197 Rouge
-472.551223 -356.159197 -470.000000 -356.666667 Marron
-470.000000 -356.666667 -467.448777 -356.159197 Marron
-467.448777 -356.159197 -465.285955 -354.714045 Noir
-465.285955 -354.714045 -463.840803 -352.551223 Bleu
-463.840803 -352.551223 -463.333333 -350.000000 Violet
-443.333333 -350.000000 -443.783518 -347.591722 Marron
-443.783518 -347.591722 -445.073274 -345.508696 Noir
-445.073274 -345.508696 -447.028411 -344.032245 Bleu
-447.028411 -344.032245 -449.384878 -343.361772 Violet
-449.384878 -343.361772 -451.824420 -343.587829 Gris
-451.824420 -343.587829 -454.017564 -344.679885 Vert
-454.017564 -344.679885 -455.668114 -346.490452 Vert
-455.668114 -346.490452 -456.553154 -348.775003 Orange
-456.553154 -348.775003 -456.553154 -351.224997 Marron
-456.553154 -351.224997 -455.668114 -353.509548 Jaune
-455.668114 -353.509548 -454.017564 -355.320115 Rouge
-454.017564 -355.320115 -451.824420 -356.412171 Vert
-451.824420 -356.412171 -449.384878 -356.638228 Orange
-449.384878 -356.638228 -447.028411 -355.967755 Marron
-447.028411 -355.967755 -445.073274 -354.491304 Gris
-445.073274 -354.491304 -443.783518 -352.408278 Jaune
-443.783518 -352.408278 -443.333333 -350.000000 Orange
-423.333333 -350.000000 -424.226497 -346.666667 Orange
-424.226497 -346.666667 -426.666667 -344.226497 Rouge
-426.666667 -344.226497 -430.000000 -343.333333 Bleu
-430.000000 -343.333333 -433.333333 -344.226497 Marron
-433.333333 -344.226497 -435.773503 -346.666667 Jaune
-435.773503 -346.666667 -436.666667 -350.000000 Noir
-436.666667 -350.000000 -435.773503 -353.333333 Violet
-435.773503 -353.333333 -433.333333 -355.773503 Marron
-433.333333 -355.773503 -430.000000 -356.666667 Noir
-430.000000 -356.666667 -426.666667 -355.773503 Violet
-426.666667 -355.773503 -424.226497 -353.333333 Bleu
-424.226497 -353.333333 -423.333333 -350.000000 Marron
-403.333333 -350.000000 -403.659623 -347.939887 Noir
-403.659623 -347.939887 -404.606553 -346.081432 Bleu
-404.606553 -346.081432 -406.081432 -344.606553 Jaune
-406.081432 -344.606553 -407.939887 -343.659623 Violet
-407.939887 -343.659623 -410.000000 -343.333333 Violet
-410.000000 -343.333333 -412.060113 -343.659623 Rose
-412.060113 -343.659623 -413.918568 -344.606553 Orange
-413.918568 -344.606553 -415.393447 -346.081432 Orange
-415.393447 -346.081432 -416.340377 -347.939887 Bleu
-416.340377 -347.939887 -416.666667 -350.000000 Rouge
-416.666667 -350.000000 -416.340377 -352.060113 Jaune
-416.340377 -352.060113 -415.393447 -353.918568 Jaune
-415.393447 -353.918568 -413.918568 -355.393447 Violet
-413.918568 -355.393447 -412.060113 -356.340377 Orange
-412.060113 -356.340377 -410.000000 -356.666667 Rose
-410.000000 -356.666667 -407.939887 -356.340377 Noir
-407.939887 -356.340377 -406.081432 -355.393447 Marron
-406.081432 -355.393447 -404.606553 -353.918568 Gris
-404.606553 -353.918568 -403.659623 -352.060113 Noir
-403.659623 -352.060113 -403.333333 -350.000000 Vert
-383.333333 -350.000000 -384.893037 -345.714749 Orange
-384.893037 -345.714749 -388.842345 -343.434615 Gris
-388.842345 -343.434615 -393.333333 -344.226497 Marron
-393.333333 -344.226497 -396.264617 -347.719866 Vert
-396.264617 -347.719866 -396.264617 -352.280134 Marron
-396.264617 -352.280134 -393.333333 -355.773503 Noir
-393.333333 -355.773503 -388.842345 -356.565385 Marron
-388.842345 -356.565385 -384.893037 -354.285251 Gris
-384.893037 -354.285251 -383.333333 -350.000000 Jaune
-363.333333 -350.000000 -364.096960 -346.901846 Marron
-364.096960 -346.901846 -366.212902 -344.513441 Orange
-366.212902 -344.513441 -369.196422 -343.381941 Marron
-369.196422 -343.381941 -372.364033 -343.766558 Orange
-372.364033 -343.766558 -374.990072 -345.579182 Orange
-374.990072 -345.579182 -376.472945 -348.404562 Rouge
-376.472945 -348.404562 -376.472945 -351.595438 Gris
-376.472945 -351.595438 -374.990072 -354.420818 Marron
-374.990072 -354.420818 -372.364033 -356.233442 Rose
-372.364033 -356.233442 -369.196422 -356.618059 Jaune
-369.196422 -356.618059 -366.212902 -355.486559 Bleu
-366.212902 -355.486559 -364.096960 -353.098154 Rouge
-364.096960 -353.098154 -363.333333 -350.000000 Marron
-343.333333 -350.000000 -343.783518 -347.591722 Rouge
-343.783518 -347.591722 -345.073274 -345.508696 Vert
-345.073274 -345.508696 -347.028411 -344.032245 Bleu
-347.028411 -344.032245 -349.384878 -343.361772 Jaune
-349.384878 -343.361772 -351.824420 -343.587829 Marron
-351.824420 -343.587829 -354.017564 -344.679885 Rouge
-354.017564 -344.679885 -355.668114 -346.490452 Violet
-355.668114 -346.490452 -356.553154 -348.775003 Orange
-356.553154 -348.775003 -356.553154 -351.224997 Noir
-356.553154 -351.224997 -355.668114 -353.509548 Rose
-355.668114 -353.509548 -354.017564 -355.320115 Rouge
-354.017564 -355.320115 -351.824420 -356.412171 Orange
-351.824420 -356.412171 -349.384878 -356.638228 Vert
-349.384878 -356.638228 -347.028411 -355.967755 Vert
-347.028411 -355.967755 -345.073274 -354.491304 Jaune
-345.073274 -354.491304 -343.783518 -352.408278 Orange
-343.783518 -352.408278 -343.333333 -350.000000 Orange
-323.333333 -350.000000 -323.909697 -347.288422 Orange
-323.909697 -347.288422 -325.539129 -345.045701 Jaune
-325.539129 -345.045701 -327.939887 -343.659623 Rouge
-327.939887 -343.659623 -330.696856 -343.369854 Rouge
-330.696856 -343.369854 -333.333333 -344.226497 Marron
-333.333333 -344.226497 -335.393447 -346.081432 Bleu
-335.393447 -346.081432 -336.520984 -348.613922 Violet
-336.520984 -348.613922 -336.520984 -351.386078 Jaune
-336.520984 -351.386078 -335.393447 -353.918568 Rose
-335.393447 -353.918568 -333.333333 -355.773503 Gris
-333.333333 -355.773503 -330.696856 -356.630146 Rouge
-330.696856 -356.630146 -327.939887 -356.340377 Rose
-327.939887 -356.340377 -325.539129 -354.954299 Orange
-325.539129 -354.954299 -323.909697 -352.711578 Jaune
-323.909697 -352.711578 -323.333333 -350.000000 Rouge
-303.333333 -350.000000 -303.694552 -347.835337 Marron
-303.694552 -347.835337 -304.739063 -345.905249 Orange
-304.739063 -345.905249 -306.353679 -344.418890 Rouge
-306.353679 -344.418890 -308.363430 -343.537332 Vert
-308.363430 -343.537332 -310.550529 -343.356103 Bleu
-310.550529 -343.356103 -312.677969 -343.894844 Jaune
-312.677969 -343.894844 -314.515210 -345.095174 Rose
-314.515210 -345.095174 -315.863158 -346.827017 Jaune
-315.863158 -346.827017 -316.575742 -348.902703 Noir
-316.575742 -348.902703 -316.575742 -351.097297 Rose
-316.575742 -351.097297 -315.863158 -353.172983 Violet
-315.863158 -353.172983 -314.515210 -354.904826 Rouge
-314.515210 -354.904826 -312.677969 -356.105156 Jaune
-312.677969 -356.105156 -310.550529 -356.643897 Marron
-310.550529 -356.643897 -308.363430 -356.462668 Bleu
-308.363430 -356.462668 -306.353679 -355.581110 Vert
-306.353679 -355.581110 -304.739063 -354.094751 Orange
-304.739063 -354.094751 -303.694552 -352.164663 Rouge
-303.694552 -352.164663 -303.333333 -350.000000 Orange
-283.333333 -350.000000 -283.694552 -347.835337 Gris
-283.694552 -347.835337 -284.739063 -345.905249 Orange
-284.739063 -345.905249 -286.353679 -344.418890 Marron
-286.353679 -344.418890 -288.363430 -343.537332 Rose
-288.363430 -343.537332 -290.550529 -343.356103 Vert
-290.550529 -343.356103 -292.677969 -343.894844 Vert
-292.677969 -343.894844 -294.515210 -345.095174 Marron
-294.515210 -345.095174 -295.863158 -346.827017 Jaune
-295.863158 -346.827017 -296.575742 -348.902703 Violet
-296.575742 -348.902703 -296.575742 -351.097297 Violet
-296.575742 -351.097297 -295.863158 -353.172983 Rouge
-295.863158 -353.172983 -294.515210 -354.904826 Jaune
-294.515210 -354.904826 -292.677969 -356.105156 Noir
-292.677969 -356.105156 -290.550529 -356.643897 Gris
-290.550529 -356.643897 -288.363430 -356.462668 Bleu
-288.363430 -356.462668 -286.353679 -355.581110 Rose
-286.353679 -355.581110 -284.739063 -354.094751 Violet
-284.739063 -354.094751 -283.694552 -352.164663 Rouge
-283.694552 -352.164663 -283.333333 -350.000000 Vert
-263.333333 -350.000000 -263.909697 -347.288422 Orange
-263.909697 -347.288422 -265.539129 -345.045701 Marron
-265.539129 -345.045701 -267.939887 -343.659623 Orange
-267.939887 -343.659623 -270.696856 -343.369854 Violet
-270.696856 -343.369854 -273.333333 -344.226497 Orange
-273.333333 -344.226497 -275.393447 -346.081432 Rouge
-275.393447 -346.081432 -276.520984 -348.613922 Bleu
-276.520984 -348.613922 -276.520984 -351.386078 Rouge
-276.520984 -351.386078 -275.393447 -353.918568 Rose
-275.393447 -353.918568 -273.333333 -355.773503 Jaune
-273.333333 -355.773503 -270.696856 -356.630146 Jaune
-270.696856 -356.630146 -267.939887 -356.340377 Bleu
-267.939887 -356.340377 -265.539129 -354.954299 Violet
-265.539129 -354.954299 -263.909697 -352.711578 Vert
-263.909697 -352.711578 -263.333333 -350.000000 Vert
-243.333333 -350.000000 -243.840803 -347.448777 Violet
-243.840803 -347.448777 -245.285955 -345.285955 Vert
-245.285955 -345.285955 -247.448777 -343.840803 Bleu
-247.448777 -343.840803 -250.000000 -343.333333 Rouge
-250.000000 -343.333333 -252.551223 -343.840803 Gris
-252.551223 -343.840803 -254.714045 -345.285955 Marron
-254.714045 -345.285955 -256.159197 -347.448777 Marron
-256.159197 -347.448777 -256.666667 -350.000000 Noir
-256.666667 -350.000000 -256.159197 -352.551223 Jaune
-256.159197 -352.551223 -254.714045 -354.714045 Violet
-254.714045 -354.714045 -252.551223 -356.159197 Bleu
-252.551223 -356.159197 -250.000000 -356.666667 Noir
-250.000000 -356.666667 -247.448777 -356.159197 Jaune
-247.448777 -356.159197 -245.285955 -354.714045 Vert
-245.285955 -354.714045 -243.840803 -352.551223 Rose
-243.840803 -352.551223 -243.333333 -350.000000 Bleu
-223.333333 -350.000000 -225.285955 -345.285955 Bleu
-225.285955 -345.285955 -230.000000 -343.333333 Jaune
-230.000000 -343.333333 -234.714045 -345.285955 Bleu
-234.714045 -345.285955 -236.666667 -350.000000 Jaune
-236.666667 -350.000000 -234.714045 -354.714045 Marron
-234.714045 -354.714045 -230.000000 -356.666667 Marron
-230.000000 -356.666667 -225.285955 -354.714045 Orange
-225.285955 -354.714045 -223.333333 -350.000000 Marron
-203.333333 -350.000000 -205.285955 -345.285955 Jaune
-205.285955 -345.285955 -210.000000 -343.333333 Marron
-210.000000 -343.333333 -214.714045 -345.285955 Gris
-214.714045 -345.285955 -216.666667 -350.000000 Gris
-216.666667 -350.000000 -214.714045 -354.714045 Orange
-214.714045 -354.714045 -210.000000 -356.666667 Violet
-210.000000 -356.666667 -205.285955 -354.714045 Rouge
-205.285955 -354.714045 -203.333333 -350.000000 Bleu
-183.333333 -350.000000 -187.939887 -343.659623 Rose
-187.939887 -343.659623 -195.393447 -346.081432 Vert
-195.393447 -346.081432 -195.393447 -353.918568 Jaune
