> 550 350 11045
-529.166667 -337.500000 -531.116296 -332.143437 Vert
-531.116296 -332.143437 -536.052932 -329.293269 Noir
-536.052932 -329.293269 -541.666667 -330.283122 Gris
-541.666667 -330.283122 -545.330772 -334.649832 Gris
-545.330772 -334.649832 -545.330772 -340.350168 Violet
-545.330772 -340.350168 -541.666667 -344.716878 Bleu
-541.666667 -344.716878 -536.052932 -345.706731 Vert
-536.052932 -345.706731 -531.116296 -342.856563 Violet
-531.116296 -342.856563 -529.166667 -337.500000 Vert
-504.166667 -337.500000 -504.991926 -333.884302 Bleu
-504.991926 -333.884302 -507.304252 -330.984738 Orange
-507.304252 -330.984738 -510.645659 -329.375601 Noir
-510.645659 -329.375601 -514.354341 -329.375601 Orange
-514.354341 -329.375601 -517.695748 -330.984738 Bleu
-517.695748 -330.984738 -520.008074 -333.884302 Violet
-520.008074 -333.884302 -520.833333 -337.500000 Jaune
-520.833333 -337.500000 -520.008074 -341.115698 Orange
-520.008074 -341.115698 -517.695748 -344.015262 Gris
-517.695748 -344.015262 -514.354341 -345.624399 Noir
-514.354341 -345.624399 -510.645659 -345.624399 Orange
-510.645659 -345.624399 -507.304252 -344.015262 Noir
-507.304252 -344.015262 -504.991926 -341.115698 Gris
-504.991926 -341.115698 -504.166667 -337.500000 Marron
-479.166667 -337.500000 -480.489554 -332.994660 Bleu
-480.489554 -332.994660 -484.038208 -329.919733 Bleu
-484.038208 -329.919733 -488.685957 -329.251488 Noir
-488.685957 -329.251488 -492.957173 -331.202087 Rouge
-492.957173 -331.202087 -495.495775 -335.152229 Bleu
-495.495775 -335.152229 -495.495775 -339.847771 Bleu
-495.495775 -339.847771 -492.957173 -343.797913 Violet
-492.957173 -343.797913 -488.685957 -345.748512 Gris
-488.685957 -345.748512 -484.038208 -345.080267 Rose
-484.038208 -345.080267 -480.489554 -342.005340 Gris
-480.489554 -342.005340 -479.166667 -337.500000 Rose
-454.166667 -337.500000 -454.991926 -333.884302 Gris
-454.991926 -333.884302 -457.304252 -330.984738 Noir
-457.304252 -330.984738 -460.645659 -329.375601 Violet
-460.645659 -329.375601 -464.354341 -329.375601 Orange
-464.354341 -329.375601 -467.695748 -330.984738 Noir
-467.695748 -330.984738 -470.008074 -333.884302 Gris
-470.008074 -333.884302 -470.833333 -337.500000 Bleu
-470.833333 -337.500000 -470.008074 -341.115698 Orange
-470.008074 -341.115698 -467.695748 -344.015262 Rouge
-467.695748 -344.015262 -464.354341 -345.624399 Noir
-464.354341 -345.624399 -460.645659 -345.624399 Violet
-460.645659 -345.624399 -457.304252 -344.015262 Rose
-457.304252 -344.015262 -454.991926 -341.115698 Orange
-454.991926 -341.115698 -454.166667 -337.500000 Marron
-429.166667 -337.500000 -430.489554 -332.994660 Noir
-430.489554 -332.994660 -434.038208 -329.919733 Rouge
-434.038208 -329.919733 -438.685957 -329.251488 Marron
-438.685957 -329.251488 -442.957173 -331.202087 Violet
-442.957173 -331.202087 -445.495775 -335.152229 Noir
-445.495775 -335.152229 -445.495775 -339.847771 Gris
-445.495775 -339.847771 -442.957173 -343.797913 Gris
-442.957173 -343.797913 -438.685957 -345.748512 Marron
-438.685957 -345.748512 -434.038208 -345.080267 Marron
-434.038208 -345.080267 -430.489554 -342.005340 Vert
-430.489554 -342.005340 -429.166667 -337.500000 Bleu
-404.166667 -337.500000 -416.666667 -330.283122 Violet
-416.666667 -330.283122 -416.666667 -344.716878 Noir
-416.666667 -344.716878 -404.166667 -337.500000 Rouge
-379.166667 -337.500000 -384.924858 -329.574529 Marron
-384.924858 -329.574529 -394.241808 -332.601790 Noir
-394.241808 -332.601790 -394.241808 -342.398210 Bleu
-394.241808 -342.398210 -384.924858 -345.425471 Violet
-384.924858 -345.425471 -379.166667 -337.500000 Orange
-354.166667 -337.500000 -366.666667 -330.283122 Noir
-366.666667 -330.283122 -366.666667 -344.716878 Bleu
-366.666667 -344.716878 -354.166667 -337.500000 Violet
-329.166667 -337.500000 -330.283122 -333.333333 Vert
-330.283122 -333.333333 -333.333333 -330.283122 Vert
-333.333333 -330.283122 -337.500000 -329.166667 Orange
-337.500000 -329.166667 -341.666667 -330.283122 Marron
-341.666667 -330.283122 -344.716878 -333.333333 Jaune
-344.716878 -333.333333 -345.833333 -337.500000 Rouge
-345.833333 -337.500000 -344.716878 -341.666667 Vert
-344.716878 -341.666667 -341.666667 -344.716878 Orange
-341.666667 -344.716878 -337.500000 -345.833333 Marron
-337.500000 -345.833333 -333.333333 -344.716878 Gris
-333.333333 -344.716878 -330.283122 -341.666667 Jaune
-330.283122 -341.666667 -329.166667 -337.500000 Orange
-304.166667 -337.500000 -306.607443 -331.607443 Orange
-306.607443 -331.607443 -312.500000 -329.166667 Rouge
-312.500000 -329.166667 -318.392557 -331.607443 Bleu
-318.392557 -331.607443 -320.833333 -337.500000 Marron
-320.833333 -337.500000 -318.392557 -343.392557 Jaune
-318.392557 -343.392557 -312.500000 -345.833333 Noir
-312.500000 -345.833333 -306.607443 -343.392557 Violet
-306.607443 -343.392557 -304.166667 -337.500000 Marron
-279.166667 -337.500000 -279.991926 -333.884302 Violet
-279.991926 -333.884302 -282.304252 -330.984738 Bleu
-282.304252 -330.984738 -285.645659 -329.375601 Marron
-285.645659 -329.375601 -289.354341 -329.375601 Vert
-289.354341 -329.375601 -292.695748 -330.984738 Noir
-292.695748 -330.984738 -295.008074 -333.884302 Bleu
-295.008074 -333.884302 -295.833333 -337.500000 Jaune
-295.833333 -337.500000 -295.008074 -341.115698 Violet
-295.008074 -341.115698 -292.695748 -344.015262 Violet
-292.695748 -344.015262 -289.354341 -345.624399 Rose
-289.354341 -345.624399 -285.645659 -345.624399 Orange
-285.645659 -345.624399 -282.304252 -344.015262 Orange
-282.304252 -344.015262 -279.991926 -341.115698 Bleu
-279.991926 -341.115698 -279.166667 -337.500000 Rouge
-254.166667 -337.500000 -256.116296 -332.143437 Jaune
-256.116296 -332.143437 -261.052932 -329.293269 Violet
-261.052932 -329.293269 -266.666667 -330.283122 Orange
-266.666667 -330.283122 -270.330772 -334.649832 Rose
-270.330772 -334.649832 -270.330772 -340.350168 Noir
-270.330772 -340.350168 -266.666667 -344.716878 Marron
-266.666667 -344.716878 -261.052932 -345.706731 Gris
-261.052932 -345.706731 -256.116296 -342.856563 Noir
-256.116296 -342.856563 -254.166667 -337.500000 Vert
-229.166667 -337.500000 -241.666667 -330.283122 Orange
-241.666667 -330.283122 -241.666667 -344.716878 Gris
-241.666667 -344.716878 -229.166667 -337.500000 Marron
-204.166667 -337.500000 -204.887121 -334.110528 Marron
-204.887121 -334.110528 -206.923912 -331.307126 Noir
-206.923912 -331.307126 -209.924858 -329.574529 Marron
-209.924858 -329.574529 -213.371071 -329.212318 Gris
-213.371071 -329.212318 -216.666667 -330.283122 Jaune
-216.666667 -330.283122 -219.241808 -332.601790 Noir
-219.241808 -332.601790 -220.651230 -335.767403 Marron
-220.651230 -335.767403 -220.651230 -339.232597 Orange
-220.651230 -339.232597 -219.241808 -342.398210 Marron
-219.241808 -342.398210 -216.666667 -344.716878 Orange
-216.666667 -344.716878 -213.371071 -345.787682 Orange
-213.371071 -345.787682 -209.924858 -345.425471 Rouge
-209.924858 -345.425471 -206.923912 -343.692874 Gris
-206.923912 -343.692874 -204.887121 -340.889472 Marron
-204.887121 -340.889472 -204.166667 -337.500000 Rose
-179.166667 -337.500000 -181.607443 -331.607443 Bleu
-181.607443 -331.607443 -187.500000 -329.166667 Rouge
-187.500000 -329.166667 -193.392557 -331.607443 Marron
-193.392557 -331.607443 -195.833333 -337.500000 Orange
-195.833333 -337.500000 -193.392557 -343.392557 Rouge
-193.392557 -343.392557 -187.500000 -345.833333 Vert
-187.500000 -345.833333 -181.607443 -343.392557 Bleu
-181.607443 -343.392557 -179.166667 -337.500000 Jaune
-154.166667 -337.500000 -162.500000 -329.166667 Rouge
-162.500000 -329.166667 -170.833333 -337.500000 Violet
-170.833333 -337.500000 -162.500000 -345.833333 Orange
-162.500000 -345.833333 -154.166667 -337.500000 Noir
-129.166667 -337.500000 -141.666667 -330.283122 Rouge
-141.666667 -330.283122 -141.666667 -344.716878 Orange
-141.666667 -344.716878 -129.166667 -337.500000 Vert
-104.166667 -337.500000 -104.887121 -334.110528 Jaune
-104.887121 -334.110528 -106.923912 -331.307126 Orange
-106.923912 -331.307126 -109.924858 -329.574529 Orange
-109.924858 -329.574529 -113.371071 -329.212318 Noir
-113.371071 -329.212318 -116.666667 -330.283122 Orange
-116.666667 -330.283122 -119.241808 -332.601790 Jaune
-119.241808 -332.601790 -120.651230 -335.767403 Rouge
-120.651230 -335.767403 -120.651230 -339.232597 Rouge
-120.651230 -339.232597 -119.241808 -342.398210 Marron
-119.241808 -342.398210 -116.666667 -344.716878 Bleu
-116.666667 -344.716878 -113.371071 -345.787682 Violet
-113.371071 -345.787682 -109.924858 -345.425471 Jaune
-109.924858 -345.425471 -106.923912 -343.692874 Rose
-106.923912 -343.692874 -104.887121 -340.889472 Gris
-104.887121 -340.889472 -104.166667 -337.500000 Rouge
-79.166667 -337.500000 -87.500000 -329.166667 Orange
-87.500000 -329.166667 -95.833333 -337.500000 Jaune
-95.833333 -337.500000 -87.500000 -345.833333 Rouge
-87.500000 -345.833333 -79.166667 -337.500000 Orange
-54.166667 -337.500000 -57.304252 -330.984738 Orange
-57.304252 -330.984738 -64.354341 -329.375601 Rouge
-64.354341 -329.375601 -70.008074 -333.884302 Vert
-70.008074 -333.884302 -70.008074 -341.115698 Bleu
-70.008074 -341.115698 -64.354341 -345.624399 Jaune
-64.354341 -345.624399 -57.304252 -344.015262 Rose
-57.304252 -344.015262 -54.166667 -337.500000 Jaune
-29.166667 -337.500000 -33.333333 -330.283122 Rose
-33.333333 -330.283122 -41.666667 -330.283122 Violet
-41.666667 -330.283122 -45.833333 -337.500000 Rouge
-45.833333 -337.500000 -41.666667 -344.716878 Jaune
-41.666667 -344.716878 -33.333333 -344.716878 Marron
-33.333333 -344.716878 -29.166667 -337.500000 Bleu
-4.166667 -337.500000 -4.991926 -333.884302 Orange
-4.991926 -333.884302 -7.304252 -330.984738 Rouge
-7.304252 -330.984738 -10.645659 -329.375601 Orange
-10.645659 -329.375601 -14.354341 -329.375601 Gris
-14.354341 -329.375601 -17.695748 -330.984738 Gris
-17.695748 -330.984738 -20.008074 -333.884302 Orange
-20.008074 -333.884302 -20.833333 -337.500000 Marron
-20.833333 -337.500000 -20.008074 -341.115698 Rose
-20.008074 -341.115698 -17.695748 -344.015262 Vert
-17.695748 -344.015262 -14.354341 -345.624399 Vert
-14.354341 -345.624399 -10.645659 -345.624399 Marron
-10.645659 -345.624399 -7.304252 -344.015262 Jaune
-7.304252 -344.015262 -4.991926 -341.115698 Violet
-4.991926 -341.115698 -4.166667 -337.500000 Violet
20.833333 -337.500000 19.716878 -333.333333 Jaune
19.716878 -333.333333 16.666667 -330.283122 Noir
16.666667 -330.283122 12.500000 -329.166667 Gris
12.500000 -329.166667 8.333333 -330.283122 Bleu
8.333333 -330.283122 5.283122 -333.333333 Rose
5.283122 -333.333333 4.166667 -337.500000 Violet
4.166667 -337.500000 5.283122 -341.666667 Rouge
5.283122 -341.666667 8.333333 -344.716878 Vert
8.333333 -344.716878 12.500000 -345.833333 Orange
12.500000 -345.833333 16.666667 -344.716878 Orange
16.666667 -344.716878 19.716878 -341.666667 Marron
19.716878 -341.666667 20.833333 -337.500000 Orange
