> 420 240 2939
-395.000000 -225.000000 -401.909830 -215.489435 Vert
-401.909830 -215.489435 -413.090170 -219.122147 Noir
-413.090170 -219.122147 -413.090170 -230.877853 Gris
-413.090170 -230.877853 -401.909830 -234.510565 Gris
-401.909830 -234.510565 -395.000000 -225.000000 Violet
-365.000000 -225.000000 -380.000000 -216.339746 Vert
-380.000000 -216.339746 -380.000000 -233.660254 Violet
-380.000000 -233.660254 -365.000000 -225.000000 Vert
-335.000000 -225.000000 -338.765102 -217.181685 Bleu
-338.765102 -217.181685 -347.225209 -215.250721 Orange
-347.225209 -215.250721 -354.009689 -220.661163 Noir
-354.009689 -220.661163 -354.009689 -229.338837 Orange
-354.009689 -229.338837 -347.225209 -234.749279 Bleu
-347.225209 -234.749279 -338.765102 -232.818315 Violet
-338.765102 -232.818315 -335.000000 -225.000000 Jaune
-305.000000 -225.000000 -320.000000 -216.339746 Gris
-320.000000 -216.339746 -320.000000 -233.660254 Noir
-320.000000 -233.660254 -305.000000 -225.000000 Orange
-275.000000 -225.000000 -278.765102 -217.181685 Gris
-278.765102 -217.181685 -287.225209 -215.250721 Marron
-287.225209 -215.250721 -294.009689 -220.661163 Orange
-294.009689 -220.661163 -294.009689 -229.338837 Bleu
-294.009689 -229.338837 -287.225209 -234.749279 Bleu
-287.225209 -234.749279 -278.765102 -232.818315 Noir
-278.765102 -232.818315 -275.000000 -225.000000 Rouge
-245.000000 -225.000000 -248.765102 -217.181685 Bleu
-248.765102 -217.181685 -257.225209 -215.250721 Violet
-257.225209 -215.250721 -264.009689 -220.661163 Gris
-264.009689 -220.661163 -264.009689 -229.338837 Rose
-264.009689 -229.338837 -257.225209 -234.749279 Gris
-257.225209 -234.749279 -248.765102 -232.818315 Rose
-248.765102 -232.818315 -245.000000 -225.000000 Marron
-215.000000 -225.000000 -221.909830 -215.489435 Noir
-221.909830 -215.489435 -233.090170 -219.122147 Violet
-233.090170 -219.122147 -233.090170 -230.877853 Orange
-233.090170 -230.877853 -221.909830 -234.510565 Noir
-221.909830 -234.510565 -215.000000 -225.000000 Gris
-185.000000 -225.000000 -187.339556 -218.572124 Orange
-187.339556 -218.572124 -193.263518 -215.151922 Rouge
-193.263518 -215.151922 -200.000000 -216.339746 Noir
-200.000000 -216.339746 -204.396926 -221.579799 Violet
-204.396926 -221.579799 -204.396926 -228.420201 Rose
-204.396926 -228.420201 -200.000000 -233.660254 Orange
-200.000000 -233.660254 -193.263518 -234.848078 Marron
-193.263518 -234.848078 -187.339556 -231.427876 Jaune
-187.339556 -231.427876 -185.000000 -225.000000 Noir
-155.000000 -225.000000 -157.928932 -217.928932 Marron
-157.928932 -217.928932 -165.000000 -215.000000 Violet
-165.000000 -215.000000 -172.071068 -217.928932 Noir
-172.071068 -217.928932 -175.000000 -225.000000 Gris
-175.000000 -225.000000 -172.071068 -232.071068 Gris
-172.071068 -232.071068 -165.000000 -235.000000 Marron
-165.000000 -235.000000 -157.928932 -232.071068 Marron
-157.928932 -232.071068 -155.000000 -225.000000 Vert
-125.000000 -225.000000 -131.909830 -215.489435 Rouge
-131.909830 -215.489435 -143.090170 -219.122147 Violet
-143.090170 -219.122147 -143.090170 -230.877853 Noir
-143.090170 -230.877853 -131.909830 -234.510565 Rouge
-131.909830 -234.510565 -125.000000 -225.000000 Marron
-95.000000 -225.000000 -101.909830 -215.489435 Noir
-101.909830 -215.489435 -113.090170 -219.122147 Bleu
-113.090170 -219.122147 -113.090170 -230.877853 Violet
-113.090170 -230.877853 -101.909830 -234.510565 Orange
-101.909830 -234.510565 -95.000000 -225.000000 Marron
-65.000000 -225.000000 -80.000000 -216.339746 Bleu
-80.000000 -216.339746 -80.000000 -233.660254 Violet
-80.000000 -233.660254 -65.000000 -225.000000 Gris
-35.000000 -225.000000 -37.928932 -217.928932 Vert
-37.928932 -217.928932 -45.000000 -215.000000 Orange
-45.000000 -215.000000 -52.071068 -217.928932 Marron
-52.071068 -217.928932 -55.000000 -225.000000 Jaune
-55.000000 -225.000000 -52.071068 -232.071068 Rouge
-52.071068 -232.071068 -45.000000 -235.000000 Vert
-45.000000 -235.000000 -37.928932 -232.071068 Orange
-37.928932 -232.071068 -35.000000 -225.000000 Marron
-5.000000 -225.000000 -8.765102 -217.181685 Jaune
-8.765102 -217.181685 -17.225209 -215.250721 Orange
-17.225209 -215.250721 -24.009689 -220.661163 Rouge
-24.009689 -220.661163 -24.009689 -229.338837 Orange
-24.009689 -229.338837 -17.225209 -234.749279 Rouge
-17.225209 -234.749279 -8.765102 -232.818315 Bleu
-8.765102 -232.818315 -5.000000 -225.000000 Marron
25.000000 -225.000000 22.071068 -217.928932 Noir
22.071068 -217.928932 15.000000 -215.000000 Violet
15.000000 -215.000000 7.928932 -217.928932 Marron
7.928932 -217.928932 5.000000 -225.000000 Noir
5.000000 -225.000000 7.928932 -232.071068 Violet
7.928932 -232.071068 15.000000 -235.000000 Bleu
15.000000 -235.000000 22.071068 -232.071068 Marron
22.071068 -232.071068 25.000000 -225.000000 Vert
55.000000 -225.000000 48.090170 -215.489435 Bleu
48.090170 -215.489435 36.909830 -219.122147 Jaune
36.909830 -219.122147 36.909830 -230.877853 Violet
36.909830 -230.877853 48.090170 -234.510565 Violet
48.090170 -234.510565 55.000000 -225.000000 Rose
85.000000 -225.000000 82.660444 -218.572124 Orange
82.660444 -218.572124 76.736482 -215.151922 Bleu
76.736482 -215.151922 70.000000 -216.339746 Rouge
70.000000 -216.339746 65.603074 -221.579799 Jaune
65.603074 -221.579799 65.603074 -228.420201 Jaune
65.603074 -228.420201 70.000000 -233.660254 Violet
70.000000 -233.660254 76.736482 -234.848078 Orange
76.736482 -234.848078 82.660444 -231.427876 Rose
82.660444 -231.427876 85.000000 -225.000000 Noir
115.000000 -225.000000 111.234898 -217.181685 Gris
111.234898 -217.181685 102.774791 -215.250721 Noir
102.774791 -215.250721 95.990311 -220.661163 Vert
95.990311 -220.661163 95.990311 -229.338837 Noir
95.990311 -229.338837 102.774791 -234.749279 Orange
102.774791 -234.749279 111.234898 -232.818315 Gris
111.234898 -232.818315 115.000000 -225.000000 Marron
145.000000 -225.000000 142.071068 -217.928932 Marron
142.071068 -217.928932 135.000000 -215.000000 Noir
135.000000 -215.000000 127.928932 -217.928932 Marron
127.928932 -217.928932 125.000000 -225.000000 Gris
125.000000 -225.000000 127.928932 -232.071068 Jaune
127.928932 -232.071068 135.000000 -235.000000 Noir
135.000000 -235.000000 142.071068 -232.071068 Marron
142.071068 -232.071068 145.000000 -225.000000 Orange
175.000000 -225.000000 171.234898 -217.181685 Orange
171.234898 -217.181685 162.774791 -215.250721 Orange
