> 1250 750 16800
-1250.000000 750.000000 -1247.916667 750.000000 Bleu
-1243.750000 750.000000 -1241.666667 750.000000 Bleu
-1237.500000 750.000000 -1235.416667 750.000000 Bleu
-1231.250000 750.000000 -1229.166667 750.000000 Bleu
-1225.000000 750.000000 -1222.916667 750.000000 Bleu
-1218.750000 750.000000 -1216.666667 750.000000 Bleu
-1212.500000 750.000000 -1210.416667 750.000000 Bleu
-1206.250000 750.000000 -1204.166667 750.000000 Bleu
-1200.000000 750.000000 -1197.916667 750.000000 Bleu
-1193.750000 750.000000 -1191.666667 750.000000 Bleu
-1187.500000 750.000000 -1185.416667 750.000000 Bleu
-1181.250000 750.000000 -1179.166667 750.000000 Bleu
-1175.000000 750.000000 -1172.916667 750.000000 Bleu
-1168.750000 750.000000 -1166.666667 750.000000 Bleu
-1162.500000 750.000000 -1160.416667 750.000000 Bleu
-1156.250000 750.000000 -1154.166667 750.000000 Bleu
-1150.000000 750.000000 -1147.916667 750.000000 Bleu
-1143.750000 750.000000 -1141.666667 750.000000 Bleu
-1137.500000 750.000000 -1135.416667 750.000000 Bleu
-1131.250000 750.000000 -1129.166667 750.000000 Bleu
-1125.000000 750.000000 -1122.916667 750.000000 Bleu
-1118.750000 750.000000 -1116.666667 750.000000 Bleu
-1112.500000 750.000000 -1110.416667 750.000000 Bleu
-1106.250000 750.000000 -1104.166667 750.000000 Bleu
-1100.000000 750.000000 -1097.916667 750.000000 Bleu
-1093.750000 750.000000 -1091.666667 750.000000 Bleu
-1087.500000 750.000000 -1085.416667 750.000000 Bleu
-1081.250000 750.000000 -1079.166667 750.000000 Bleu
-1075.000000 750.000000 -1072.916667 750.000000 Bleu
-1068.750000 750.000000 -1066.666667 750.000000 Bleu
-1062.500000 750.000000 -1060.416667 750.000000 Bleu
-1056.250000 750.000000 -1054.166667 750.000000 Bleu
-1050.000000 750.000000 -1047.916667 750.000000 Bleu
-1043.750000 750.000000 -1041.666667 750.000000 Bleu
-1037.500000 750.000000 -1035.416667 750.000000 Bleu
-1031.250000 750.000000 -1029.166667 750.000000 Bleu
-1025.000000 750.000000 -1022.916667 750.000000 Bleu
-1018.750000 750.000000 -1016.666667 750.000000 Bleu
-1012.500000 750.000000 -1010.416667 750.000000 Bleu
-1006.250000 750.000000 -1004.166667 750.000000 Bleu
-1000.000000 750.000000 -997.916667 750.000000 Bleu
-993.750000 750.000000 -991.666667 750.000000 Bleu
-987.500000 750.000000 -985.416667 750.000000 Bleu
-981.250000 750.000000 -979.166667 750.000000 Bleu
-975.000000 750.000000 -972.916667 750.000000 Bleu
-968.750000 750.000000 -966.666667 750.000000 Bleu
-962.500000 750.000000 -960.416667 750.000000 Bleu
-956.250000 750.000000 -954.166667 750.000000 Bleu
-950.000000 750.000000 -947.916667 750.000000 Bleu
-943.750000 750.000000 -941.666667 750.000000 Bleu
-937.500000 750.000000 -935.416667 750.000000 Bleu
-931.250000 750.000000 -929.166667 750.000000 Bleu
-925.000000 750.000000 -922.916667 750.000000 Bleu
-918.750000 750.000000 -916.666667 750.000000 Bleu
-912.500000 750.000000 -910.416667 750.000000 Bleu
