> 600 350 5940
-600.000000 350.000000 -598.000000 350.000000 Bleu
-594.000000 350.000000 -592.000000 350.000000 Bleu
-588.000000 350.000000 -586.000000 350.000000 Bleu
-582.000000 350.000000 -580.000000 350.000000 Bleu
-576.000000 350.000000 -574.000000 350.000000 Bleu
-570.000000 350.000000 -568.000000 350.000000 Bleu
-564.000000 350.000000 -562.000000 350.000000 Bleu
-558.000000 350.000000 -556.000000 350.000000 Bleu
-552.000000 350.000000 -550.000000 350.000000 Bleu
-546.000000 350.000000 -544.000000 350.000000 Bleu
-540.000000 350.000000 -538.000000 350.000000 Bleu
-534.000000 350.000000 -532.000000 350.000000 Bleu
-528.000000 350.000000 -526.000000 350.000000 Bleu
-522.000000 350.000000 -520.000000 350.000000 Bleu
-516.000000 350.000000 -514.000000 350.000000 Bleu
-510.000000 350.000000 -508.000000 350.000000 Bleu
-504.000000 350.000000 -502.000000 350.000000 Bleu
-498.000000 350.000000 -496.000000 350.000000 Bleu
-492.000000 350.000000 -490.000000 350.000000 Bleu
-486.000000 350.000000 -484.000000 350.000000 Bleu
-480.000000 350.000000 -478.000000 350.000000 Bleu
-474.000000 350.000000 -472.000000 350.000000 Bleu
-468.000000 350.000000 -466.000000 350.000000 Bleu
-462.000000 350.000000 -460.000000 350.000000 Bleu
-456.000000 350.000000 -454.000000 350.000000 Bleu
-450.000000 350.000000 -448.000000 350.000000 Bleu
-444.000000 350.000000 -442.000000 350.000000 Bleu
-438.000000 350.000000 -436.000000 350.000000 Bleu
-432.000000 350.000000 -430.000000 350.000000 Bleu
-426.000000 350.000000 -424.000000 350.000000 Bleu
-420.000000 350.000000 -418.000000 350.000000 Bleu
-414.000000 350.000000 -412.000000 350.000000 Bleu
-408.000000 350.000000 -406.000000 350.000000 Bleu
-402.000000 350.000000 -400.000000 350.000000 Bleu
-396.000000 350.000000 -394.000000 350.000000 Bleu
-390.000000 350.000000 -388.000000 350.000000 Bleu
-384.000000 350.000000 -382.000000 350.000000 Bleu
-378.000000 350.000000 -376.000000 350.000000 Bleu
