> 600 350 1800
-600.000000 350.000000 -598.000000 350.000000 Bleu
-590.000000 350.000000 -588.000000 350.000000 Bleu
-580.000000 350.000000 -578.000000 350.000000 Bleu
-570.000000 350.000000 -568.000000 350.000000 Bleu
-560.000000 350.000000 -558.000000 350.000000 Bleu
-550.000000 350.000000 -548.000000 350.000000 Bleu
-540.000000 350.000000 -538.000000 350.000000 Bleu
-530.000000 350.000000 -528.000000 350.000000 Bleu
-520.000000 350.000000 -518.000000 350.000000 Bleu
-510.000000 350.000000 -508.000000 350.000000 Bleu
-500.000000 350.000000 -498.000000 350.000000 Bleu
-490.000000 350.000000 -488.000000 350.000000 Bleu
-480.000000 350.000000 -478.000000 350.000000 Bleu
-470.000000 350.000000 -468.000000 350.000000 Bleu
-460.000000 350.000000 -458.000000 350.000000 Bleu
-450.000000 350.000000 -448.000000 350.000000 Bleu
-440.000000 350.000000 -438.000000 350.000000 Bleu
-430.000000 350.000000 -428.000000 350.000000 Bleu
-420.000000 350.000000 -418.000000 350.000000 Bleu
-410.000000 350.000000 -408.000000 350.000000 Bleu
-400.000000 350.000000 -398.000000 350.000000 Bleu
-390.000000 350.000000 -388.000000 350.000000 Bleu
-380.000000 350.000000 -378.000000 350.000000 Bleu
-370.000000 350.000000 -368.000000 350.000000 Bleu
-360.000000 350.000000 -358.000000 350.000000 Bleu
-350.000000 350.000000 -348.000000 350.000000 Bleu
-340.000000 350.000000 -338.000000 350.000000 Bleu
-330.000000 350.000000 -328.000000 350.000000 Bleu
-320.000000 350.000000 -318.000000 350.000000 Bleu
-310.000000 350.000000 -308.000000 350.000000 Bleu
-300.000000 350.000000 -298.000000 350.000000 Bleu
-290.000000 350.000000 -288.000000 350.000000 Bleu
-280.000000 350.000000 -278.000000 350.000000 Bleu
-270.000000 350.000000 -268.000000 350.000000 Bleu
-260.000000 350.000000 -258.000000 350.000000 Bleu
-250.000000 350.000000 -248.000000 350.000000 Bleu
-240.000000 350.000000 -238.000000 350.000000 Bleu
-230.000000 350.000000 -228.000000 350.000000 Bleu
-220.000000 350.000000 -218.000000 350.000000 Bleu
-210.000000 350.000000 -208.000000 350.000000 Bleu
-200.000000 350.000000 -198.000000 350.000000 Bleu
-190.000000 350.000000 -188.000000 350.000000 Bleu
-180.000000 350.000000 -178.000000 350.000000 Bleu
-170.000000 350.000000 -168.000000 350.000000 Bleu
-160.000000 350.000000 -158.000000 350.000000 Bleu
-150.000000 350.000000 -148.000000 350.000000 Bleu
-140.000000 350.000000 -138.000000 350.000000 Bleu
-130.000000 350.000000 -128.000000 350.000000 Bleu
-120.000000 350.000000 -118.000000 350.000000 Bleu
-110.000000 350.000000 -108.000000 350.000000 Bleu
-100.000000 350.000000 -98.000000 350.000000 Bleu
-90.000000 350.000000 -88.000000 350.000000 Bleu
-80.000000 350.000000 -78.000000 350.000000 Bleu
-70.000000 350.000000 -68.000000 350.000000 Bleu
-60.000000 350.000000 -58.000000 350.000000 Bleu
-50.000000 350.000000 -48.000000 350.000000 Bleu
-40.000000 350.000000 -38.000000 350.000000 Bleu
-30.000000 350.000000 -28.000000 350.000000 Bleu
-20.000000 350.000000 -18.000000 350.000000 Bleu
-10.000000 350.000000 -8.000000 350.000000 Bleu
0.000000 350.000000 2.000000 350.000000 Bleu
10.000000 350.000000 12.000000 350.000000 Bleu
20.000000 350.000000 22.000000 350.000000 Bleu
30.000000 350.000000 32.000000 350.000000 Bleu
40.000000 350.000000 42.000000 350.000000 Bleu
50.000000 350.000000 52.000000 350.000000 Bleu
60.000000 350.000000 62.000000 350.000000 Bleu
70.000000 350.000000 72.000000 350.000000 Bleu
