> 500 250 660
-500.000000 250.000000 -491.666667 250.000000 Bleu
-475.000000 250.000000 -466.666667 250.000000 Bleu
-450.000000 250.000000 -441.666667 250.000000 Bleu
-425.000000 250.000000 -416.666667 250.000000 Bleu
-400.000000 250.000000 -391.666667 250.000000 Bleu
-375.000000 250.000000 -366.666667 250.000000 Bleu
-350.000000 250.000000 -341.666667 250.000000 Bleu
-325.000000 250.000000 -316.666667 250.000000 Bleu
-300.000000 250.000000 -291.666667 250.000000 Bleu
-275.000000 250.000000 -266.666667 250.000000 Bleu
-250.000000 250.000000 -241.666667 250.000000 Bleu
-225.000000 250.000000 -216.666667 250.000000 Bleu
-200.000000 250.000000 -191.666667 250.000000 Bleu
-175.000000 250.000000 -166.666667 250.000000 Bleu
-150.000000 250.000000 -141.666667 250.000000 Bleu
-125.000000 250.000000 -116.666667 250.000000 Bleu
-100.000000 250.000000 -91.666667 250.000000 Bleu
-75.000000 250.000000 -66.666667 250.000000 Bleu
-50.000000 250.000000 -41.666667 250.000000 Bleu
-25.000000 250.000000 -16.666667 250.000000 Bleu
0.000000 250.000000 8.333333 250.000000 Bleu
25.000000 250.000000 33.333333 250.000000 Bleu
50.000000 250.000000 58.333333 250.000000 Bleu
75.000000 250.000000 83.333333 250.000000 Bleu
100.000000 250.000000 108.333333 250.000000 Bleu
125.000000 250.000000 133.333333 250.000000 Bleu
150.000000 250.000000 158.333333 250.000000 Bleu
175.000000 250.000000 183.333333 250.000000 Bleu
200.000000 250.000000 208.333333 250.000000 Bleu
225.000000 250.000000 233.333333 250.000000 Bleu
250.000000 250.000000 258.333333 250.000000 Bleu
275.000000 250.000000 283.333333 250.000000 Bleu
300.000000 250.000000 308.333333 250.000000 Bleu
325.000000 250.000000 333.333333 250.000000 Bleu
350.000000 250.000000 358.333333 250.000000 Bleu
375.000000 250.000000 383.333333 250.000000 Bleu
400.000000 250.000000 408.333333 250.000000 Bleu
425.000000 250.000000 433.333333 250.000000 Bleu
450.000000 250.000000 458.333333 250.000000 Bleu
475.000000 250.000000 483.333333 250.000000 Bleu
500.000000 -250.000000 500.000000 -238.888889 Bleu
500.000000 -216.666667 500.000000 -205.555556 Bleu
500.000000 -183.333333 500.000000 -172.222222 Bleu
500.000000 -150.000000 500.000000 -138.888889 Bleu
500.000000 -116.666667 500.000000 -105.555556 Bleu
500.000000 -83.333333 500.000000 -72.222222 Bleu
500.000000 -50.000000 500.000000 -38.888889 Bleu
500.000000 -16.666667 500.000000 -5.555556 Bleu
500.000000 16.666667 500.000000 27.777778 Bleu
500.000000 50.000000 500.000000 61.111111 Bleu
500.000000 83.333333 500.000000 94.444444 Bleu
500.000000 116.666667 500.000000 127.777778 Bleu
500.000000 150.000000 500.000000 161.111111 Bleu
500.000000 183.333333 500.000000 194.444444 Bleu
500.000000 216.666667 500.000000 227.777778 Bleu
-500.000000 -250.000000 -491.666667 -250.000000 Bleu
-475.000000 -250.000000 -466.666667 -250.000000 Bleu
-450.000000 -250.000000 -441.666667 -250.000000 Bleu
-425.000000 -250.000000 -416.666667 -250.000000 Bleu
-400.000000 -250.000000 -391.666667 -250.000000 Bleu
-375.000000 -250.000000 -366.666667 -250.000000 Bleu
-350.000000 -250.000000 -341.666667 -250.000000 Bleu
-325.000000 -250.000000 -316.666667 -250.000000 Bleu
-300.000000 -250.000000 -291.666667 -250.000000 Bleu
-275.000000 -250.000000 -266.666667 -250.000000 Bleu
-250.000000 -250.000000 -241.666667 -250.000000 Bleu
-225.000000 -250.000000 -216.666667 -250.000000 Bleu
-200.000000 -250.000000 -191.666667 -250.000000 Bleu
-175.000000 -250.000000 -166.666667 -250.000000 Bleu
-150.000000 -250.000000 -141.666667 -250.000000 Bleu
-125.000000 -250.000000 -116.666667 -250.000000 Bleu
-100.000000 -250.000000 -91.666667 -250.000000 Bleu
-75.000000 -250.000000 -66.666667 -250.000000 Bleu
-50.000000 -250.000000 -41.666667 -250.000000 Bleu
-25.000000 -250.000000 -16.666667 -250.000000 Bleu
0.000000 -250.000000 8.333333 -250.000000 Bleu
25.000000 -250.000000 33.333333 -250.000000 Bleu
50.000000 -250.000000 58.333333 -250.000000 Bleu
75.000000 -250.000000 83.333333 -250.000000 Bleu
100.000000 -250.000000 108.333333 -250.000000 Bleu
125.000000 -250.000000 133.333333 -250.000000 Bleu
150.000000 -250.000000 158.333333 -250.000000 Bleu
175.000000 -250.000000 183.333333 -250.000000 Bleu
200.000000 -250.000000 208.333333 -250.000000 Bleu
225.000000 -250.000000 233.333333 -250.000000 Bleu
250.000000 -250.000000 258.333333 -250.000000 Bleu
275.000000 -250.000000 283.333333 -250.000000 Bleu
300.000000 -250.000000 308.333333 -250.000000 Bleu
325.000000 -250.000000 333.333333 -250.000000 Bleu
350.000000 -250.000000 358.333333 -250.000000 Bleu
375.000000 -250.000000 383.333333 -250.000000 Bleu
400.000000 -250.000000 408.333333 -250.000000 Bleu
425.000000 -250.000000 433.333333 -250.000000 Bleu
450.000000 -250.000000 458.333333 -250.000000 Bleu
475.000000 -250.000000 483.333333 -250.000000 Bleu
-500.000000 -250.000000 -500.000000 -238.888889 Bleu
-500.000000 -216.666667 -500.000000 -205.555556 Bleu
-500.000000 -183.333333 -500.000000 -172.222222 Bleu
-500.000000 -150.000000 -500.000000 -138.888889 Bleu
-500.000000 -116.666667 -500.000000 -105.555556 Bleu
-500.000000 -83.333333 -500.000000 -72.222222 Bleu
-500.000000 -50.000000 -500.000000 -38.888889 Bleu
-500.000000 -16.666667 -500.000000 -5.555556 Bleu
-500.000000 16.666667 -500.000000 27.777778 Bleu
-500.000000 50.000000 -500.000000 61.111111 Bleu
-500.000000 83.333333 -500.000000 94.444444 Bleu
-500.000000 116.666667 -500.000000 127.777778 Bleu
-500.000000 150.000000 -500.000000 161.111111 Bleu
-500.000000 183.333333 -500.000000 194.444444 Bleu
-500.000000 216.666667 -500.000000 227.777778 Bleu
-420.000000 210.000000 -413.000000 210.000000 Rouge
-399.000000 210.000000 -392.000000 210.000000 Rouge
-378.000000 210.000000 -371.000000 210.000000 Rouge
-357.000000 210.000000 -350.000000 210.000000 Rouge
-336.000000 210.000000 -329.000000 210.000000 Rouge
-315.000000 210.000000 -308.000000 210.000000 Rouge
-294.000000 210.000000 -287.000000 210.000000 Rouge
-273.000000 210.000000 -266.000000 210.000000 Rouge
-252.000000 210.000000 -245.000000 210.000000 Rouge
-231.000000 210.000000 -224.000000 210.000000 Rouge
-210.000000 210.000000 -203.000000 210.000000 Rouge
-189.000000 210.000000 -182.000000 210.000000 Rouge
-168.000000 210.000000 -161.000000 210.000000 Rouge
-147.000000 210.000000 -140.000000 210.000000 Rouge
-126.000000 210.000000 -119.000000 210.000000 Rouge
-105.000000 210.000000 -98.000000 210.000000 Rouge
-84.000000 210.000000 -77.000000 210.000000 Rouge
-63.000000 210.000000 -56.000000 210.000000 Rouge
-42.000000 210.000000 -35.000000 210.000000 Rouge
-21.000000 210.000000 -14.000000 210.000000 Rouge
0.000000 210.000000 7.000000 210.000000 Rouge
21.000000 210.000000 28.000000 210.000000 Rouge
42.000000 210.000000 49.000000 210.000000 Rouge
63.000000 210.000000 70.000000 210.000000 Rouge
84.000000 210.000000 91.000000 210.000000 Rouge
105.000000 210.000000 112.000000 210.000000 Rouge
126.000000 210.000000 133.000000 210.000000 Rouge
147.000000 210.000000 154.000000 210.000000 Rouge
168.000000 210.000000 175.000000 210.000000 Rouge
189.000000 210.000000 196.000000 210.000000 Rouge
210.000000 210.000000 217.000000 210.000000 Rouge
231.000000 210.000000 238.000000 210.000000 Rouge
252.000000 210.000000 259.000000 210.000000 Rouge
273.000000 210.000000 280.000000 210.000000 Rouge
294.000000 210.000000 301.000000 210.000000 Rouge
315.000000 210.000000 322.000000 210.000000 Rouge
336.000000 210.000000 343.000000 210.000000 Rouge
357.000000 210.000000 364.000000 210.000000 Rouge
378.000000 210.000000 385.000000 210.000000 Rouge
399.000000 210.000000 406.000000 210.000000 Rouge
420.000000 -210.000000 420.000000 -200.666667 Rouge
420.000000 -182.000000 420.000000 -172.666667 Rouge
420.000000 -154.000000 420.000000 -144.666667 Rouge
420.000000 -126.000000 420.000000 -116.666667 Rouge
420.000000 -98.000000 420.000000 -88.666667 Rouge
420.000000 -70.000000 420.000000 -60.666667 Rouge
420.000000 -42.000000 420.000000 -32.666667 Rouge
420.000000 -14.000000 420.000000 -4.666667 Rouge
420.000000 14.000000 420.000000 23.333333 Rouge
420.000000 42.000000 420.000000 51.333333 Rouge
420.000000 70.000000 420.000000 79.333333 Rouge
420.000000 98.000000 420.000000 107.333333 Rouge
420.000000 126.000000 420.000000 135.333333 Rouge
420.000000 154.000000 420.000000 163.333333 Rouge
420.000000 182.000000 420.000000 191.333333 Rouge
-420.000000 -210.000000 -413.000000 -210.000000 Rouge
-399.000000 -210.000000 -392.000000 -210.000000 Rouge
-378.000000 -210.000000 -371.000000 -210.000000 Rouge
-357.000000 -210.000000 -350.000000 -210.000000 Rouge
-336.000000 -210.000000 -329.000000 -210.000000 Rouge
-315.000000 -210.000000 -308.000000 -210.000000 Rouge
-294.000000 -210.000000 -287.000000 -210.000000 Rouge
-273.000000 -210.000000 -266.000000 -210.000000 Rouge
-252.000000 -210.000000 -245.000000 -210.000000 Rouge
-231.000000 -210.000000 -224.000000 -210.000000 Rouge
-210.000000 -210.000000 -203.000000 -210.000000 Rouge
-189.000000 -210.000000 -182.000000 -210.000000 Rouge
-168.000000 -210.000000 -161.000000 -210.000000 Rouge
-147.000000 -210.000000 -140.000000 -210.000000 Rouge
-126.000000 -210.000000 -119.000000 -210.000000 Rouge
-105.000000 -210.000000 -98.000000 -210.000000 Rouge
-84.000000 -210.000000 -77.000000 -210.000000 Rouge
-63.000000 -210.000000 -56.000000 -210.000000 Rouge
-42.000000 -210.000000 -35.000000 -210.000000 Rouge
-21.000000 -210.000000 -14.000000 -210.000000 Rouge
0.000000 -210.000000 7.000000 -210.000000 Rouge
21.000000 -210.000000 28.000000 -210.000000 Rouge
42.000000 -210.000000 49.000000 -210.000000 Rouge
63.000000 -210.000000 70.000000 -210.000000 Rouge
84.000000 -210.000000 91.000000 -210.000000 Rouge
105.000000 -210.000000 112.000000 -210.000000 Rouge
126.000000 -210.000000 133.000000 -210.000000 Rouge
147.000000 -210.000000 154.000000 -210.000000 Rouge
168.000000 -210.000000 175.000000 -210.000000 Rouge
189.000000 -210.000000 196.000000 -210.000000 Rouge
210.000000 -210.000000 217.000000 -210.000000 Rouge
231.000000 -210.000000 238.000000 -210.000000 Rouge
252.000000 -210.000000 259.000000 -210.000000 Rouge
273.000000 -210.000000 280.000000 -210.000000 Rouge
294.000000 -210.000000 301.000000 -210.000000 Rouge
315.000000 -210.000000 322.000000 -210.000000 Rouge
336.000000 -210.000000 343.000000 -210.000000 Rouge
357.000000 -210.000000 364.000000 -210.000000 Rouge
378.000000 -210.000000 385.000000 -210.000000 Rouge
399.000000 -210.000000 406.000000 -210.000000 Rouge
-420.000000 -210.000000 -420.000000 -200.666667 Rouge
-420.000000 -182.000000 -420.000000 -172.666667 Rouge
-420.000000 -154.000000 -420.000000 -144.666667 Rouge
-420.000000 -126.000000 -420.000000 -116.666667 Rouge
-420.000000 -98.000000 -420.000000 -88.666667 Rouge
-420.000000 -70.000000 -420.000000 -60.666667 Rouge
-420.000000 -42.000000 -420.000000 -32.666667 Rouge
-420.000000 -14.000000 -420.000000 -4.666667 Rouge
-420.000000 14.000000 -420.000000 23.333333 Rouge
-420.000000 42.000000 -420.000000 51.333333 Rouge
-420.000000 70.000000 -420.000000 79.333333 Rouge
-420.000000 98.000000 -420.000000 107.333333 Rouge
-420.000000 126.000000 -420.000000 135.333333 Rouge
-420.000000 154.000000 -420.000000 163.333333 Rouge
-420.000000 182.000000 -420.000000 191.333333 Rouge
-340.000000 170.000000 -334.333333 170.000000 Vert
-323.000000 170.000000 -317.333333 170.000000 Vert
-306.000000 170.000000 -300.333333 170.000000 Vert
-289.000000 170.000000 -283.333333 170.000000 Vert
-272.000000 170.000000 -266.333333 170.000000 Vert
-255.000000 170.000000 -249.333333 170.000000 Vert
-238.000000 170.000000 -232.333333 170.000000 Vert
-221.000000 170.000000 -215.333333 170.000000 Vert
-204.000000 170.000000 -198.333333 170.000000 Vert
-187.000000 170.000000 -181.333333 170.000000 Vert
-170.000000 170.000000 -164.333333 170.000000 Vert
-153.000000 170.000000 -147.333333 170.000000 Vert
-136.000000 170.000000 -130.333333 170.000000 Vert
-119.000000 170.000000 -113.333333 170.000000 Vert
-102.000000 170.000000 -96.333333 170.000000 Vert
-85.000000 170.000000 -79.333333 170.000000 Vert
-68.000000 170.000000 -62.333333 170.000000 Vert
-51.000000 170.000000 -45.333333 170.000000 Vert
-34.000000 170.000000 -28.333333 170.000000 Vert
-17.000000 170.000000 -11.333333 170.000000 Vert
0.000000 170.000000 5.666667 170.000000 Vert
17.000000 170.000000 22.666667 170.000000 Vert
34.000000 170.000000 39.666667 170.000000 Vert
51.000000 170.000000 56.666667 170.000000 Vert
68.000000 170.000000 73.666667 170.000000 Vert
85.000000 170.000000 90.666667 170.000000 Vert
102.000000 170.000000 107.666667 170.000000 Vert
119.000000 170.000000 124.666667 170.000000 Vert
136.000000 170.000000 141.666667 170.000000 Vert
153.000000 170.000000 158.666667 170.000000 Vert
170.000000 170.000000 175.666667 170.000000 Vert
187.000000 170.000000 192.666667 170.000000 Vert
204.000000 170.000000 209.666667 170.000000 Vert
221.000000 170.000000 226.666667 170.000000 Vert
238.000000 170.000000 243.666667 170.000000 Vert
255.000000 170.000000 260.666667 170.000000 Vert
272.000000 170.000000 277.666667 170.000000 Vert
289.000000 170.000000 294.666667 170.000000 Vert
306.000000 170.000000 311.666667 170.000000 Vert
323.000000 170.000000 328.666667 170.000000 Vert
340.000000 -170.000000 340.000000 -162.444444 Vert
340.000000 -147.333333 340.000000 -139.777778 Vert
340.000000 -124.666667 340.000000 -117.111111 Vert
340.000000 -102.000000 340.000000 -94.444444 Vert
340.000000 -79.333333 340.000000 -71.777778 Vert
340.000000 -56.666667 340.000000 -49.111111 Vert
340.000000 -34.000000 340.000000 -26.444444 Vert
340.000000 -11.333333 340.000000 -3.777778 Vert
340.000000 11.333333 340.000000 18.888889 Vert
340.000000 34.000000 340.000000 41.555556 Vert
340.000000 56.666667 340.000000 64.222222 Vert
340.000000 79.333333 340.000000 86.888889 Vert
340.000000 102.000000 340.000000 109.555556 Vert
340.000000 124.666667 340.000000 132.222222 Vert
340.000000 147.333333 340.000000 154.888889 Vert
-340.000000 -170.000000 -334.333333 -170.000000 Vert
-323.000000 -170.000000 -317.333333 -170.000000 Vert
-306.000000 -170.000000 -300.333333 -170.000000 Vert
-289.000000 -170.000000 -283.333333 -170.000000 Vert
-272.000000 -170.000000 -266.333333 -170.000000 Vert
-255.000000 -170.000000 -249.333333 -170.000000 Vert
-238.000000 -170.000000 -232.333333 -170.000000 Vert
-221.000000 -170.000000 -215.333333 -170.000000 Vert
-204.000000 -170.000000 -198.333333 -170.000000 Vert
-187.000000 -170.000000 -181.333333 -170.000000 Vert
-170.000000 -170.000000 -164.333333 -170.000000 Vert
-153.000000 -170.000000 -147.333333 -170.000000 Vert
-136.000000 -170.000000 -130.333333 -170.000000 Vert
-119.000000 -170.000000 -113.333333 -170.000000 Vert
-102.000000 -170.000000 -96.333333 -170.000000 Vert
-85.000000 -170.000000 -79.333333 -170.000000 Vert
-68.000000 -170.000000 -62.333333 -170.000000 Vert
-51.000000 -170.000000 -45.333333 -170.000000 Vert
-34.000000 -170.000000 -28.333333 -170.000000 Vert
-17.000000 -170.000000 -11.333333 -170.000000 Vert
0.000000 -170.000000 5.666667 -170.000000 Vert
17.000000 -170.000000 22.666667 -170.000000 Vert
34.000000 -170.000000 39.666667 -170.000000 Vert
51.000000 -170.000000 56.666667 -170.000000 Vert
68.000000 -170.000000 73.666667 -170.000000 Vert
85.000000 -170.000000 90.666667 -170.000000 Vert
102.000000 -170.000000 107.666667 -170.000000 Vert
119.000000 -170.000000 124.666667 -170.000000 Vert
136.000000 -170.000000 141.666667 -170.000000 Vert
153.000000 -170.000000 158.666667 -170.000000 Vert
170.000000 -170.000000 175.666667 -170.000000 Vert
187.000000 -170.000000 192.666667 -170.000000 Vert
204.000000 -170.000000 209.666667 -170.000000 Vert
221.000000 -170.000000 226.666667 -170.000000 Vert
238.000000 -170.000000 243.666667 -170.000000 Vert
255.000000 -170.000000 260.666667 -170.000000 Vert
272.000000 -170.000000 277.666667 -170.000000 Vert
289.000000 -170.000000 294.666667 -170.000000 Vert
306.000000 -170.000000 311.666667 -170.000000 Vert
323.000000 -170.000000 328.666667 -170.000000 Vert
-340.000000 -170.000000 -340.000000 -162.444444 Vert
-340.000000 -147.333333 -340.000000 -139.777778 Vert
-340.000000 -124.666667 -340.000000 -117.111111 Vert
-340.000000 -102.000000 -340.000000 -94.444444 Vert
-340.000000 -79.333333 -340.000000 -71.777778 Vert
-340.000000 -56.666667 -340.000000 -49.111111 Vert
-340.000000 -34.000000 -340.000000 -26.444444 Vert
-340.000000 -11.333333 -340.000000 -3.777778 Vert
-340.000000 11.333333 -340.000000 18.888889 Vert
-340.000000 34.000000 -340.000000 41.555556 Vert
-340.000000 56.666667 -340.000000 64.222222 Vert
-340.000000 79.333333 -340.000000 86.888889 Vert
-340.000000 102.000000 -340.000000 109.555556 Vert
-340.000000 124.666667 -340.000000 132.222222 Vert
-340.000000 147.333333 -340.000000 154.888889 Vert
-260.000000 130.000000 -255.666667 130.000000 Noir
-247.000000 130.000000 -242.666667 130.000000 Noir
-234.000000 130.000000 -229.666667 130.000000 Noir
-221.000000 130.000000 -216.666667 130.000000 Noir
-208.000000 130.000000 -203.666667 130.000000 Noir
-195.000000 130.000000 -190.666667 130.000000 Noir
-182.000000 130.000000 -177.666667 130.000000 Noir
-169.000000 130.000000 -164.666667 130.000000 Noir
-156.000000 130.000000 -151.666667 130.000000 Noir
-143.000000 130.000000 -138.666667 130.000000 Noir
-130.000000 130.000000 -125.666667 130.000000 Noir
-117.000000 130.000000 -112.666667 130.000000 Noir
-104.000000 130.000000 -99.666667 130.000000 Noir
-91.000000 130.000000 -86.666667 130.000000 Noir
-78.000000 130.000000 -73.666667 130.000000 Noir
-65.000000 130.000000 -60.666667 130.000000 Noir
-52.000000 130.000000 -47.666667 130.000000 Noir
-39.000000 130.000000 -34.666667 130.000000 Noir
-26.000000 130.000000 -21.666667 130.000000 Noir
-13.000000 130.000000 -8.666667 130.000000 Noir
0.000000 130.000000 4.333333 130.000000 Noir
13.000000 130.000000 17.333333 130.000000 Noir
26.000000 130.000000 30.333333 130.000000 Noir
39.000000 130.000000 43.333333 130.000000 Noir
52.000000 130.000000 56.333333 130.000000 Noir
65.000000 130.000000 69.333333 130.000000 Noir
78.000000 130.000000 82.333333 130.000000 Noir
91.000000 130.000000 95.333333 130.000000 Noir
104.000000 130.000000 108.333333 130.000000 Noir
117.000000 130.000000 121.333333 130.000000 Noir
130.000000 130.000000 134.333333 130.000000 Noir
143.000000 130.000000 147.333333 130.000000 Noir
156.000000 130.000000 160.333333 130.000000 Noir
169.000000 130.000000 173.333333 130.000000 Noir
182.000000 130.000000 186.333333 130.000000 Noir
195.000000 130.000000 199.333333 130.000000 Noir
208.000000 130.000000 212.333333 130.000000 Noir
221.000000 130.000000 225.333333 130.000000 Noir
234.000000 130.000000 238.333333 130.000000 Noir
247.000000 130.000000 251.333333 130.000000 Noir
260.000000 -130.000000 260.000000 -124.222222 Noir
260.000000 -112.666667 260.000000 -106.888889 Noir
260.000000 -95.333333 260.000000 -89.555556 Noir
260.000000 -78.000000 260.000000 -72.222222 Noir
260.000000 -60.666667 260.000000 -54.888889 Noir
260.000000 -43.333333 260.000000 -37.555556 Noir
260.000000 -26.000000 260.000000 -20.222222 Noir
260.000000 -8.666667 260.000000 -2.888889 Noir
260.000000 8.666667 260.000000 14.444444 Noir
260.000000 26.000000 260.000000 31.777778 Noir
260.000000 43.333333 260.000000 49.111111 Noir
260.000000 60.666667 260.000000 66.444444 Noir
260.000000 78.000000 260.000000 83.777778 Noir
260.000000 95.333333 260.000000 101.111111 Noir
260.000000 112.666667 260.000000 118.444444 Noir
-260.000000 -130.000000 -255.666667 -130.000000 Noir
-247.000000 -130.000000 -242.666667 -130.000000 Noir
-234.000000 -130.000000 -229.666667 -130.000000 Noir
-221.000000 -130.000000 -216.666667 -130.000000 Noir
-208.000000 -130.000000 -203.666667 -130.000000 Noir
-195.000000 -130.000000 -190.666667 -130.000000 Noir
-182.000000 -130.000000 -177.666667 -130.000000 Noir
-169.000000 -130.000000 -164.666667 -130.000000 Noir
-156.000000 -130.000000 -151.666667 -130.000000 Noir
-143.000000 -130.000000 -138.666667 -130.000000 Noir
-130.000000 -130.000000 -125.666667 -130.000000 Noir
-117.000000 -130.000000 -112.666667 -130.000000 Noir
-104.000000 -130.000000 -99.666667 -130.000000 Noir
-91.000000 -130.000000 -86.666667 -130.000000 Noir
-78.000000 -130.000000 -73.666667 -130.000000 Noir
-65.000000 -130.000000 -60.666667 -130.000000 Noir
-52.000000 -130.000000 -47.666667 -130.000000 Noir
-39.000000 -130.000000 -34.666667 -130.000000 Noir
-26.000000 -130.000000 -21.666667 -130.000000 Noir
-13.000000 -130.000000 -8.666667 -130.000000 Noir
0.000000 -130.000000 4.333333 -130.000000 Noir
13.000000 -130.000000 17.333333 -130.000000 Noir
26.000000 -130.000000 30.333333 -130.000000 Noir
39.000000 -130.000000 43.333333 -130.000000 Noir
52.000000 -130.000000 56.333333 -130.000000 Noir
65.000000 -130.000000 69.333333 -130.000000 Noir
78.000000 -130.000000 82.333333 -130.000000 Noir
91.000000 -130.000000 95.333333 -130.000000 Noir
104.000000 -130.000000 108.333333 -130.000000 Noir
117.000000 -130.000000 121.333333 -130.000000 Noir
130.000000 -130.000000 134.333333 -130.000000 Noir
143.000000 -130.000000 147.333333 -130.000000 Noir
156.000000 -130.000000 160.333333 -130.000000 Noir
169.000000 -130.000000 173.333333 -130.000000 Noir
182.000000 -130.000000 186.333333 -130.000000 Noir
195.000000 -130.000000 199.333333 -130.000000 Noir
208.000000 -130.000000 212.333333 -130.000000 Noir
221.000000 -130.000000 225.333333 -130.000000 Noir
234.000000 -130.000000 238.333333 -130.000000 Noir
247.000000 -130.000000 251.333333 -130.000000 Noir
-260.000000 -130.000000 -260.000000 -124.222222 Noir
-260.000000 -112.666667 -260.000000 -106.888889 Noir
-260.000000 -95.333333 -260.000000 -89.555556 Noir
-260.000000 -78.000000 -260.000000 -72.222222 Noir
-260.000000 -60.666667 -260.000000 -54.888889 Noir
-260.000000 -43.333333 -260.000000 -37.555556 Noir
-260.000000 -26.000000 -260.000000 -20.222222 Noir
-260.000000 -8.666667 -260.000000 -2.888889 Noir
-260.000000 8.666667 -260.000000 14.444444 Noir
-260.000000 26.000000 -260.000000 31.777778 Noir
-260.000000 43.333333 -260.000000 49.111111 Noir
-260.000000 60.666667 -260.000000 66.444444 Noir
-260.000000 78.000000 -260.000000 83.777778 Noir
-260.000000 95.333333 -260.000000 101.111111 Noir
-260.000000 112.666667 -260.000000 118.444444 Noir
-180.000000 90.000000 -177.000000 90.000000 Jaune
-171.000000 90.000000 -168.000000 90.000000 Jaune
-162.000000 90.000000 -159.000000 90.000000 Jaune
-153.000000 90.000000 -150.000000 90.000000 Jaune
-144.000000 90.000000 -141.000000 90.000000 Jaune
-135.000000 90.000000 -132.000000 90.000000 Jaune
-126.000000 90.000000 -123.000000 90.000000 Jaune
-117.000000 90.000000 -114.000000 90.000000 Jaune
-108.000000 90.000000 -105.000000 90.000000 Jaune
-99.000000 90.000000 -96.000000 90.000000 Jaune
-90.000000 90.000000 -87.000000 90.000000 Jaune
-81.000000 90.000000 -78.000000 90.000000 Jaune
-72.000000 90.000000 -69.000000 90.000000 Jaune
-63.000000 90.000000 -60.000000 90.000000 Jaune
-54.000000 90.000000 -51.000000 90.000000 Jaune
-45.000000 90.000000 -42.000000 90.000000 Jaune
-36.000000 90.000000 -33.000000 90.000000 Jaune
-27.000000 90.000000 -24.000000 90.000000 Jaune
-18.000000 90.000000 -15.000000 90.000000 Jaune
-9.000000 90.000000 -6.000000 90.000000 Jaune
0.000000 90.000000 3.000000 90.000000 Jaune
9.000000 90.000000 12.000000 90.000000 Jaune
18.000000 90.000000 21.000000 90.000000 Jaune
27.000000 90.000000 30.000000 90.000000 Jaune
36.000000 90.000000 39.000000 90.000000 Jaune
45.000000 90.000000 48.000000 90.000000 Jaune
54.000000 90.000000 57.000000 90.000000 Jaune
63.000000 90.000000 66.000000 90.000000 Jaune
72.000000 90.000000 75.000000 90.000000 Jaune
81.000000 90.000000 84.000000 90.000000 Jaune
90.000000 90.000000 93.000000 90.000000 Jaune
99.000000 90.000000 102.000000 90.000000 Jaune
108.000000 90.000000 111.000000 90.000000 Jaune
117.000000 90.000000 120.000000 90.000000 Jaune
126.000000 90.000000 129.000000 90.000000 Jaune
135.000000 90.000000 138.000000 90.000000 Jaune
144.000000 90.000000 147.000000 90.000000 Jaune
